Category	Reward Idea	Why It Might Work for Jackie	Suggested Tier (1-3)	Notes
Focused Attention / Connection	Intentional cuddle hour	focused physical connection	2	No chores/projects during the hour.
Focused Attention / Connection	Lap cuddle while Jackie uses laptop	physical attachment + freedom to tinker	1-2	Best of both Jackie modes.
Focused Attention / Connection	Taylor asks about current hyperfixation for 20 minutes	curiosity + feeling known	2	Follow-up questions encouraged.
Focused Attention / Connection	Tell-me-about-horses session	special-interest attention	2	Yes, this gets its own reward 😂.
Focused Attention / Connection	Taylor watches Jackie demo a project	being seen + competence recognition	2	Full attention, not passive nearby presence.
Focused Attention / Connection	Shared YouTube rabbit hole	curiosity + companionship	1-2	Jackie picks topic.
Focused Attention / Connection	Read/watch something together then discuss it	joint cognition + intimacy	2	No serious-analysis requirement.
Focused Attention / Connection	Coffee/drink + couch conversation	low-pressure connection	1-2	Casual, not relationship summit.
Focused Attention / Connection	Mini living-room date	novelty without leaving home	2	Taylor plans setup.
Focused Attention / Connection	Puzzle together	shared task + proximity	2	Cooperative rather than competitive if preferred.
Surrender / No Decisions	Taylor chooses dinner and handles ordering	removes decision burden	2	Food remains supportive, never punitive.
Surrender / No Decisions	Taylor plans the whole evening	Jackie gets to surrender logistics	3	Within pre-agreed preferences.
Surrender / No Decisions	No-decisions token	Taylor handles harmless choices for a set window	2	Jackie can override genuine needs.
Surrender / No Decisions	Taylor chooses movie + snack + cuddle setup	complete low-stakes surrender	2	One bundled reward.
Surrender / No Decisions	Taylor plans a surprise mini-date	being planned for + novelty	3	Budget/location constraints agreed.
Surrender / No Decisions	Taylor picks the game	letting go of choice	1-2	From mutually liked options.
Surrender / No Decisions	Taylor chooses Jackie's comfy outfit	care + surrender	1-2	From pre-approved comfy clothes.
Surrender / No Decisions	Taylor chooses the route/stop on a casual drive	zero navigation decisions	2	Safety/navigation overrides.
Surrender / No Decisions	Taylor handles one annoying household decision	relief from cognitive load	2	Not a major financial/legal decision.
Surrender / No Decisions	Taylor selects a reward from the approved menu	surprise + surrendered choice	2	All menu items are yeses.
Surrender / No Decisions	Mystery reward envelope	anticipation + no need to choose	2-3	Pre-approved pool only.
Surrender / No Decisions	Taylor chooses which hobby Jackie does tonight	removes choice paralysis	1-2	Only among things Jackie wants.
Surrender / No Decisions	Taylor chooses a tiny treat for Jackie	being known + surprise	1	Budget-capped.
Surrender / No Decisions	Taylor makes the plan and only tells Jackie what she needs to know	trust + reduced planning	3	No surprise involving hard limits.
Surrender / No Decisions	One-hour 'Daddy decides the harmless stuff' window	D/s recognition + mental rest	3	Never includes essentials, finances, work, or health decisions.
Treats / Outings / Experiences	Something sweet	tiny dopamine	1	Already confirmed reward.
Treats / Outings / Experiences	Fast food night	indulgence + convenience	2	Already confirmed reward.
Treats / Outings / Experiences	Window-shopping trip with drinks	wandering + connection + novelty	3	Already confirmed reward.
Treats / Outings / Experiences	Bookstore wander	curiosity + outing	2	No purchase required.
Treats / Outings / Experiences	Target wander with drinks	low-stakes adventure	2	Classic browse date.
Treats / Outings / Experiences	Coffee shop date	out-of-house connection	2	Short and easy.
Treats / Outings / Experiences	Dessert run	tiny spontaneous outing	1-2	Food is reward only, never withheld as punishment.
Treats / Outings / Experiences	Drive with music and no destination	novelty + togetherness	2	Taylor can plan route.
Treats / Outings / Experiences	Pick one tiny item under a set budget	choice + treat	2	Could be cosmetic, hobby, etc.
Treats / Outings / Experiences	Thrift-store browse	treasure-hunt novelty	2	Purchase optional.
Treats / Outings / Experiences	Horse-related outing/content splurge	special-interest indulgence	3	Could be tack shop browse, event, digital purchase, etc.
Treats / Outings / Experiences	New game / DLC budget token	hobby indulgence	3	Pre-agreed budget.
Treats / Outings / Experiences	Craft/hobby store wander	idea stimulation + outing	2	Purchase optional.
Treats / Outings / Experiences	Favorite takeout picnic at home	comfort + novelty	2	Floor blanket / living room counts.
Treats / Outings / Experiences	Mystery tiny-date card	surprise experience	2-3	Draw from pre-approved options.
Praise / Recognition / D/s Ritual	Specific 'good girl' praise	D/s recognition + being seen	1-2	Tie it to the actual behavior/effort.
Praise / Recognition / D/s Ritual	Taylor tells Jackie three things he appreciated	specific affirmation	2	Concrete > generic.
Praise / Recognition / D/s Ritual	Written praise note	something Jackie can reread	2	Short is fine.
Praise / Recognition / D/s Ritual	Voice-note praise	Taylor's voice + replayability	2	Can be tiny.
Praise / Recognition / D/s Ritual	Formal reward acknowledgement	ritualized 'you earned this' moment	2	Distinct from baseline affection.
Praise / Recognition / D/s Ritual	Jackpot surprise for consistency	unexpected recognition	3	Not tied to exact exchange rate.
Praise / Recognition / D/s Ritual	Streak celebration	progress acknowledgment	2	Celebrate consistency rather than perfection.
Praise / Recognition / D/s Ritual	Taylor chooses a special affectionate title for the evening	D/s/playful recognition	1	Within existing dynamic.
Praise / Recognition / D/s Ritual	Collar/ritual-item moment if desired	symbolic recognition + connection	2-3	Only if already meaningful/consensual.
Praise / Recognition / D/s Ritual	Praise while brushing hair	care + verbal reinforcement	2	Two reward channels together.
Praise / Recognition / D/s Ritual	Praise during massage	attention + care + recognition	2	Keep natural, not scripted unless desired.
Praise / Recognition / D/s Ritual	Taylor summarizes what Jackie did well this week	meta-recognition	3	Useful for larger milestones.
Praise / Recognition / D/s Ritual	Tiny certificate / silly award	playful accomplishment ritual	1-2	Can be intentionally ridiculous.
Praise / Recognition / D/s Ritual	Gold-star / sticker token	visible progress marker	1	Cute low-stakes reinforcement.
Praise / Recognition / D/s Ritual	Bankable 'tell me why you're proud of me' token	requested focused affirmation	2	Redeem when wanted.
Sensory Satisfaction / Completion	Perfectly even massage on both sides	symmetry + sensory completion	2	Mirror of asymmetry punishments.
Sensory Satisfaction / Completion	Both socks freshly changed and perfectly smooth	sensory 'rightness'	1	Tiny but tailored.
Sensory Satisfaction / Completion	Hair brushed evenly until it feels right	symmetry + care	1-2	Stop before scalp sensitivity.
Sensory Satisfaction / Completion	Fresh clean pajamas + fresh bedding	whole-body sensory reset	2	Strong comfort reward.
Sensory Satisfaction / Completion	Blanket arranged exactly right	sensory resolution	1	Taylor does the arranging.
Sensory Satisfaction / Completion	Room lights / temperature / blankets set to ideal comfort	environmental optimization	2	Jackie gets zero setup burden.
Sensory Satisfaction / Completion	Perfectly organized snack/drink station	order + indulgence	1-2	Reward is setup and care.
Sensory Satisfaction / Completion	Both feet massaged equally	symmetry + touch	2	Completion satisfaction.
Sensory Satisfaction / Completion	Warm bath then immediate cozy wrap-up	sensory transition + care	2	Comfort-focused.
Sensory Satisfaction / Completion	Taylor fixes one annoying sensory/environmental issue Jackie has been tolerating	resolution of persistent friction	2	Small practical comfort fix.
Autonomy / Hobby / Special	Guilt-free hobby block	permission to disappear into interest	2	No chores attached.
Autonomy / Hobby / Special	Uninterrupted laptop/project gremlin hour	deep-focus freedom	2	Taylor handles interruptions where practical.
Autonomy / Hobby / Special	Jackie chooses the whole night	agency as reward	3	Food/activity/movie within practical limits.
Autonomy / Hobby / Special	Skip one low-value chore	responsibility relief	2	Never essential pet/health/safety tasks.
Autonomy / Hobby / Special	Taylor takes over one small routine task	being cared for through labor relief	2	One-off, bounded.
Autonomy / Hobby / Special	Sleep-in morning	rest + responsibility relief	3	Only when schedule allows.
Autonomy / Hobby / Special	Surprise hour with nothing expected from Jackie	freedom from productivity	2-3	No 'you should be relaxing' pressure.
Autonomy / Hobby / Special	Create something together	shared novelty + collaboration	2	Could be cooking, craft, game build, etc.
Autonomy / Hobby / Special	Jackie teaches Taylor something she loves	competence + focused interest	2	Taylor actively participates.
Autonomy / Hobby / Special	Wild-card 'Taylor knows me' reward	Taylor invents something from everything he knows Jackie enjoys	3	Must stay inside known preferences/limits.
