Reward Idea	Why It Might Work	Suggested Tier (1-3)	Notes
Visible gold-star token	Sticker/star marker for a win	1	Cute tangible reinforcement.
Taylor invents the next reward	He creates something new rather than using the menu	2	Must stay within known preferences.
Double-reward coin flip	Chance to turn one reward into two	1-2	Pure gamification.
Mystery multiplier	A normal success is randomly worth extra	1-2	Avoid making core habits feel worthless without multiplier.
Secret objective	Taylor privately picks a behavior to notice and surprises Jackie if it happens naturally	2	Should reward positive behavior, not trap/failure.
Caught-being-good reward	Taylor spontaneously rewards something he genuinely noticed	1-3	Excellent non-transactional recognition.
Consistency jackpot	Surprise reward after sustained effort	3	Not a rigid streak that punishes one miss.
Reward draft	Taylor picks three rewards; Jackie chooses one	1-3	Choice within structure.
Reverse reward draft	Jackie nominates three; Taylor decides which she gets	1-3	Surrender + anticipation.
Blind envelope draw	Random reward from an approved envelope pool	1-3	Only yes-list items.
Bank-or-spend choice	Take a small reward now or bank toward a bigger one	1-3	Avoid creating stressful debt mechanics.
Upgrade token	Turn a Tier 1 reward into a deluxe version	2	Simple gamification.
Combo reward	Bundle two or three small rewards	2-3	Good for milestones.
Wildcard reward day	Taylor spontaneously decides what deserves recognition	2-3	Keeps system alive and relational.
I-know-you challenge	Taylor predicts which reward will make Jackie happiest	2	He gets bragging rights if correct.
Recreate-an-old-date reward	Repeat a favorite memory/date vibe	3	Nostalgia + connection.
Old-photos night	Look through photos together	1-2	Memory-sharing.
Favorite-memory story	Taylor chooses one memory and says why it matters	2	Specific emotional attention.
Ridiculous couple playlist	Build a shared playlist together	1-2	Collaborative + silly.
New shared ritual	Create a little recurring ritual after a bigger milestone	3	Should stay enjoyable, not obligation.
Hidden note	Taylor hides an affectionate note for Jackie to find later	1-2	Delayed surprise.
Morning appreciation message	A specific thing Taylor appreciates sent in the morning	1	Tiny, emotionally meaningful.
Extra-long hello/goodbye cuddle	Exaggerated reunion cuddle despite WFH life	1	Comedically appropriate.
Come-sit-with-me summons	Taylor claims Jackie for intentional cuddles	1-2	Reward because she gets chosen.
Spoiled-passenger hour	Taylor handles navigation, ordering, timing, logistics	2-3	Jackie just comes along.
Sensory perfection pass	Taylor fixes socks/blanket/hair/lighting until everything feels right	2	Mirror of sensory-wrongness punishments.
Fresh favorite blanket/pajamas waiting	Clean comfort items ready before Jackie asks	1-2	Anticipatory care.
Favorite-scent environment setup	Room prepared with a preferred scent/vibe	1-2	Use tolerated scents only.
Quiet-room pressure cuddle	Low-stimulation room + pressure/cuddle setup	2	Comfort-focused.
Mood-matched music	Taylor makes/picks music for Jackie's current vibe	1	Thoughtful personalization.
Make-Jackie-laugh challenge	Taylor's job is simply to entertain her	1-2	Silly, relational reward.
Permission-to-be-annoying window	Jackie gets a short playful pestering window	1	Agree boundaries in advance.
Dramatic-complaint pass	Taylor enthusiastically validates a low-stakes injustice	1	For silly complaints, not serious issues.
Tell-me-I'm-pretty coupon	Redeem for explicit appearance praise	1	Simple, direct.
Tell-me-I'm-smart-and-be-specific coupon	Specific competence/intelligence praise	2	Very Jackie-coded.
Tell-me-what-you-noticed reward	Taylor names a specific effort/behavior he saw	2	Attunement as reward.
Ask-me-one-real-question reward	Taylor asks something he genuinely wants to know about Jackie	1-2	Curiosity/intimacy.
Teach-me-something-about-you reward	Mutual little discovery conversation	2	Connection through novelty.
Taylor-knows-me wildcard	Taylor invents a reward based entirely on what he knows Jackie enjoys	3	Inside established preferences/limits.
