Category	Idea	Why It Might Be Difficult	Predicted Fit	Safety / Structure Note
Incompleteness	Set a table with one item intentionally off-center	Visual wrongness	Low-Medium	Keep it playful.
Incompleteness	Arrange cards in order, then leave one out of sequence	Pattern disruption	Medium	Small deck only.
Incompleteness	Complete a checklist except one harmless item stays unchecked until release	Open-loop tension	High	Never use medication, hygiene, food, or safety tasks.
Incompleteness	Write a neat list but leave one bullet unfinished	Language/completion itch	Medium	Short duration.
Incompleteness	Clean a surface but leave one harmless spot untouched	Visual unfinishedness	Medium	Not unsanitary mess.
Incompleteness	Match pairs of objects and leave one intentionally unmatched	Pairing asymmetry	Medium	Small set.
Incompleteness	Put away every item except one left conspicuously out	Completion denial	Medium	Harmless item, known endpoint.
Incompleteness	Start a tiny puzzle and stop one piece before completion	Near-completion frustration	High	Use a very small puzzle.
Incompleteness	Button a shirt but leave one harmless middle button undone	Pattern violation	Medium	No wardrobe malfunction risk.
Incompleteness	Tie one shoelace neatly and leave the other loose while seated	Unfinished pair	Medium	Seated only.
Incompleteness	Make a symmetrical pattern then deliberately remove one piece	Broken symmetry	High	Use non-fragile pieces.
Incompleteness	Organize pens by color but leave one in the wrong group	Classification disruption	Medium	Tiny setup.
Incompleteness	Arrange pillows neatly except one rotated wrong	Visual/tactile mismatch	Medium	No interference with sleep.
Incompleteness	Stop a repetitive task one repetition before the satisfying endpoint	Interrupted rhythm	High	Use harmless, short tasks.
Sensory Wrongness	Step barefoot on peeled grapes in a contained tray	Wet + yielding + unpredictable squish	High	Non-slip setup; seated support nearby; clean immediately after.
Sensory Wrongness	Hold peeled grapes and gently squash them by hand	Wet squish + residue	High	Food-safe, short duration.
Sensory Wrongness	Handle a damp sponge with bare hands	Wet compression	Medium	Clean sponge, room-temperature water.
Sensory Wrongness	Touch wet paper and separate stuck layers	Mushy fragile texture	High	Clean paper/water only.
Sensory Wrongness	Mash ripe banana with fingers	Sticky + mushy	High	Food-safe and brief.
Sensory Wrongness	Handle cooked, cooled pasta with bare hands	Slippery + limp texture	Medium-High	Fresh, cooled food; no choking context.
Sensory Wrongness	Pick soft fruit pieces out of a bowl of water	Wet + soft + fine-motor focus	High	Use edible/clean materials.
Sensory Wrongness	Hold a food-safe gelatin cube until released	Cold-ish wobble + wetness	Medium-High	Room-temp if cold is pleasant rather than punitive.
Sensory Wrongness	Coat fingertips lightly with syrup and wait before washing	Sticky residue + delayed resolution	High	Small amount; keep away from electronics/fabrics.
Sensory Wrongness	Touch lotion, then wait before wiping hands	Persistent residue	Medium-High	Use tolerated lotion; short duration.
Sensory Wrongness	Wear one slightly damp sock briefly	Wet fabric + asymmetry	Very High	Clean water, short duration, seated/indoors.
Sensory Wrongness	Place a tiny harmless crumb under one thigh while seated	Irregular tactile signal	Medium-High	Soft food crumb only; no sharp debris.
Sensory Wrongness	Sit on a deliberately wrinkled towel	Persistent uneven texture	Medium	No pressure points or sharp folds.
Sensory Wrongness	Wear a shirt with one harmless fabric fold left unfixed	Persistent clothing wrongness	Medium	No seam pressure that causes pain.
Sensory Wrongness	Touch microfiber with dry hands	Catching/dry tactile sensation	High if aversive	Stop if skin irritation occurs.
Sensory Wrongness	Handle a dry cotton ball with slightly damp fingertips	Texture mismatch	Medium-High	Clean materials only.
Sensory Wrongness	Hold a soft makeup sponge coated in plain water	Wet porous texture	Medium	No chemicals.
Sensory Wrongness	Squish a sealed gel stress toy slowly	Yielding texture + anticipation	Maybe	Only if this is actually aversive; otherwise it's just sensory play.
Sensory Wrongness	Press fingertips into cooled oatmeal in a bowl	Sticky/mushy texture	High	Fresh/cooled; wash afterward.
Sensory Wrongness	Handle a peeled tomato or similarly slippery food	Slippery skinless texture	High	Food-safe, contained surface.
Forced Slowness	Write five lines extremely slowly and neatly	Pacing frustration	High	Use a short set; no hand strain.
Forced Slowness	Wait 20 seconds between each step of a simple task	Interrupts natural momentum	High	Keep total duration modest.
Forced Slowness	Move one object at a time when several could be carried	Inefficiency + pacing	High	Use light objects.
Forced Slowness	Fold laundry one item at a time with a pause between items	Deliberate inefficiency	High	Small batch only.
Forced Slowness	Answer a question only after a ten-second pause	Blocks instant external processing	Medium-High	Not during emotionally important conflict.
Forced Slowness	Speak at intentionally half-normal speed for one minute	Speech pacing constraint	Medium	Keep it playful, not during distress.
Forced Slowness	Walk slowly across the room under direction	Motor pacing restriction	Medium	Clear floor, no balance risk.
Forced Slowness	Complete a tiny cleanup task using only one hand	Efficiency restriction	High	No knives, heat, breakables, or hazardous tasks.
Forced Slowness	Sort ten items one-by-one with hands returning to lap between each	Forced reset between actions	High	Safe seated task.
Forced Slowness	Read a short paragraph aloud with deliberate pauses after each sentence	Pacing + control	Medium	No humiliating content.
Forced Slowness	Wait for explicit 'next' before continuing a harmless sequence	Externally controlled pacing	High	Set a max total time.
Forced Slowness	Open a snack/package very slowly under instruction	Delayed gratification + pacing	Medium	Not when actually hungry/needs food.
Forced Slowness	Type a short sentence with a pause after every word	Cognitive pacing frustration	High	Short phrase only.
Forced Slowness	Brush hair with one stroke, pause, repeat	Interrupts soothing rhythm	Maybe	Only if it is aversive; avoid tangles.
Forced Slowness	Put away five objects with a countdown before each	Anticipation + inefficiency	High	Small number.
Forced Slowness	Complete a task without multitasking	Denial of concurrency	High	Short, harmless task.
Forced Slowness	Sit for sixty seconds after finishing before you're allowed to mark it done	Delayed closure	High	Known timer.
Forced Slowness	Perform a familiar routine in deliberately separated micro-steps	Breaks automatic flow	High	Don't disrupt medical/hygiene needs.
Forced Slowness	Use a timer that requires waiting before correcting a harmless asymmetry	Forced endurance of wrongness	Very High	Short, agreed max.
Forced Slowness	Receive instructions one sentence at a time instead of the whole plan	Information throttling	High	Use only for playful tasks.
Optimization Denial	Follow an intentionally inefficient but harmless method	Systems-brain frustration	Very High	Never use for safety-critical or work tasks.
Optimization Denial	No shortcuts allowed for a tiny task	Blocked optimization	High	Task should take only a few minutes.
Optimization Denial	Use the 'wrong' but functional order for a simple routine	Predictability/control disruption	High	Keep routine non-essential.
Optimization Denial	Use a paper list instead of preferred digital method for one tiny task	Tool preference denial	Medium-High	No important records.
Optimization Denial	Sort alphabetically when another system would be faster	Arbitrary rule + inefficiency	High	Tiny dataset.
Optimization Denial	Carry objects individually instead of batching	No batching allowed	High	Light objects only.
Optimization Denial	Complete a trivial task without preparing all materials first	Workflow inefficiency	High	No safety-sensitive tasks.
Optimization Denial	Use an intentionally verbose five-step process for a one-step task	Procedural annoyance	Very High	Keep it absurd, short, and harmless.
Optimization Denial	Taylor chooses the order of three tiny tasks	Loss of prioritization control	High	All tasks optional/non-essential.
Optimization Denial	No reorganizing the instructions into a better system	Meta-optimization denial	Very High	Short-lived.
Optimization Denial	Must ask for the next step instead of receiving the whole sequence	Information gating	High	Set max duration.
Optimization Denial	Use a deliberately mediocre but safe tool for a tiny job	Tool inefficiency	Medium-High	No damaged/unsafe tools.
Optimization Denial	Do not combine two compatible chores	Forced serial processing	High	Tiny tasks only.
Optimization Denial	Leave an obvious harmless efficiency improvement unused	Visible missed optimization	Very High	Known endpoint.
Optimization Denial	Repeat the exact provided method even after spotting a better one	Submission vs systems instinct	Very High	Only playful, low-stakes tasks.
Optimization Denial	Ask permission before making a harmless process improvement	Control over optimization	High	Short window.
Optimization Denial	Follow a deliberately over-specific instruction set	Constraint + inefficiency	High	No trick instructions.
Optimization Denial	Complete a small task with materials placed inconveniently apart	Extra steps	Medium-High	No trip hazards.
Optimization Denial	Use only one container when two would make sorting easier	Artificial constraint	High	Tiny task.
Optimization Denial	Watch Taylor perform a tiny task inefficiently without correcting him	Suppressed optimization impulse	Potentially Very High	Keep playful; no consequential task.
