Category	Activity	Sensation / Experience	Psychological Hook	Suggested Intensity (1-3)	Safety / Structure Note
Localized Pain	Pinch-and-release rhythm	sharp bursts	counting + anticipation	2	Easy to modulate.
Localized Pain	Flicking	tiny sharp sting	annoyance + repetition	1-2	Avoid face/eyes and vulnerable tissue.
Localized Pain	Rubber-band snap on safe fleshy area	quick sting	sudden correction	1-2	Do not use on face, genitals, or compromised skin.
Localized Pain	Firm brush strokes	prickly sting	repetitive sensory correction	2	Use skin-safe brush, stop before irritation.
Localized Pain	Pinwheel on agreed skin areas	prickly sharp sensation	anticipation + focus	2	Avoid broken skin and delicate areas.
Localized Pain	Scratching without breaking skin	surface sting	control + immediacy	2	Keep nails smooth and skin intact.
Localized Pain	Scratch-and-freeze	surface sting	react-vs-obey tension	2-3	Safewords and necessary movement exempt.
Localized Pain	Bite-and-release	pressure + sharpness	control + immediacy	2	Do not break skin; avoid vulnerable anatomy.
Localized Pain	Bite-and-hold briefly	pressure + ache	stillness + control	2-3	Short duration; no tissue damage.
Localized Pain	Hair pulling close to scalp	scalp tension	control + posture	2	Pull close to scalp, not from hair ends.
Localized Pain	Hair-pull posture cue	scalp tension	physical guidance + obedience	2	No neck jerking.
Localized Pain	Firm grip squeeze on fleshy area	deep localized pressure	controlled discomfort	2	Avoid nerves/joints and numbness.
Localized Pain	Repeated light snaps to one safe area	accumulating sting	builds sensation gradually	2	Stop before skin damage.
Localized Pain	Pinch while maintaining eye contact	sharp pressure	vulnerability + composure	2-3	Bounded duration.
Localized Pain	Alternating pinch locations	sharp contrast	uncertainty	2	Stay within pre-approved areas.
Endurance	Wall sit	muscle burn	hold-until-released obedience	2	Short intervals; stop for joint pain/dizziness.
Endurance	Wall sit with visible timer	muscle burn	watching the clock	2	Known endpoint.
Endurance	Wall sit with hidden timer and known max	muscle burn	bounded uncertainty	2-3	Maximum stated in advance.
Endurance	Slow squat hold	thigh burn	stillness + discipline	2	Avoid if knees are unhappy.
Endurance	Plank hold	full-body burn	endurance + focus	2	Use proper form and short intervals.
Endurance	Forearm plank with counting task	full-body burn	cognitive load	2-3	Stop for sharp pain.
Endurance	Arms-out hold	shoulder burn	composure + obedience	2	No heavy weights; protect shoulders.
Endurance	Arms-out hold with light book	muscle fatigue	added ritual	2	Keep load light.
Endurance	Book held at chest height	arm burn	formal correction vibe	2	Short duration.
Endurance	Book held overhead	shoulder burn	endurance + obedience	2	Light object only; avoid shoulder strain.
Endurance	Tiptoe hold against wall	calf burn + balance	annoying obedience	2	Use wall support.
Endurance	Static lunge hold	leg burn	discipline + balance	2	Keep knee alignment safe.
Endurance	Chair hover	thigh burn	controlled discomfort	2	Use nearby support.
Endurance	Kneeling posture on safe surface	pressure + stillness	ritual + submission	1-2	Protect knees; no sharp surfaces.
Endurance	Kneeling with hands placed as instructed	pressure + posture	obedience + ritual	2	Avoid painful shoulder positions.
Endurance	Kneel then stand only on permission	pressure + anticipation	loss of choice	2	Known max duration.
Endurance	Hold a light object in outstretched hands	arm burn	precision + endurance	2	Lightweight only.
Endurance	Balance a soft object on head while standing	posture fatigue	restart-if-it-falls game	1-2	Use harmless object.
Endurance	Static posture after impact	muscle fatigue + after-sting	composure	2-3	Keep posture reasonable.
Endurance	Short staircase of posture holds	varied muscle burn	progressive ritual	2	Keep total duration modest.
Obedience	Don't-move drill	stillness under urge to react	lizard brain vs chosen obedience	2	Safewords/necessary movement always override.
Obedience	Permission required to shift position	loss of control	micro-obedience	2	Time-bounded.
Obedience	Permission required to speak	verbal restraint	focus + control	2	Safety communication always unrestricted.
Obedience	Hands-on-head posture	mild shoulder fatigue	visible submission	1-2	Short intervals.
Obedience	Hands-behind-back posture	postural tension	formal obedience	1-2	Do not force shoulders.
Obedience	Eyes-forward stance	stillness	composure	1	Low-risk ritual element.
Obedience	Hold eye contact during correction	psychological intensity	attention + vulnerability	2	Easy opt-out.
Obedience	Count each impact aloud	attention under pain	ritual + accountability	2-3	Pre-agreed physical play only.
Obedience	Count backward through impacts	cognitive load + sting	harder concentration	3	Keep arithmetic simple.
Obedience	Repeat a short acknowledgment after each count	ritual	behavior-focused correction	2	Avoid identity-shaming language.
Obedience	Recite the relevant rule while holding posture	muscle burn + verbal focus	ties sensation to behavior	2-3	Keep wording concise.
Obedience	Respond only with agreed short answers	structured control	loss of conversational freedom	1-2	Safewords exempt.
Obedience	Complete a three-command sequence	precision	must listen carefully	1-2	Keep achievable, not trick-based.
Obedience	Restart posture timer if voluntary fidgeting occurs	muscle burn	stillness challenge	2	Cap restarts so it cannot become endless.
Obedience	Return to position after each impact	after-sting + movement control	composure	2-3	No forced movement through injury.
Obedience	Ask permission before scratching an itch	minor frustration	micro-control	1	Short windows only.
Obedience	Ask permission before sitting down	mild inconvenience	temporary power shift	1	Never applies to safety/medical needs.
Obedience	Stay in designated spot until dismissed	anticipation	authority + containment	1-2	Known maximum duration.
Obedience	Carry out one exact service instruction	mild effort	precision + restitution	1	Keep task reasonable.
Obedience	Formal kneel-wait-dismiss ritual	pressure + stillness	clear disciplinary arc	2	Include explicit end/release.
Psychological	Visible countdown timer	anticipation	watching consequence approach/end	1-2	Known endpoint.
Psychological	Hidden timer with known maximum	uncertainty	bounded anticipation	2	Maximum explicit beforehand.
Psychological	Wait in position before consequence	anticipation	not knowing exact start moment	2	Short pre-agreed window.
Psychological	Mystery punishment from approved list	uncertainty	surrendered choice	2-3	Only pre-consented options.
Psychological	Taylor chooses from three approved options	anticipation	loss of choice	2	All three must be acceptable.
Psychological	Jackie chooses one of three approved options	self-selection	accountability + commitment	2	No coercive 'bad choice' framing.
Psychological	Write a short reflection before release	mental effort	links consequence to behavior	1-2	Keep it concise.
Psychological	Write lines tied to the actual rule	repetition	corrective ritual	1	Avoid excessive volume.
Psychological	Read reflection aloud	vulnerability	accountability	2	Skip if emotionally overwhelming.
Psychological	State what happened without explanation first	directness	separates fact from justification	1-2	Follow with context afterward.
Psychological	State one concrete next-time plan	closure	behavior-focused correction	1	Useful end ritual.
Psychological	Listen to a pre-agreed corrective recording while still	immersive focus	voice + containment	3	No identity attacks; immediate stop option.
Psychological	Blindfold during a mild punishment	amplified anticipation	uncertainty + sensory narrowing	2-3	Maintain easy stop signal.
Psychological	Headphones with non-startling audio during posture hold	isolation + focus	immersion	2	Do not block emergency communication.
Psychological	Silent correction period	serious tone	removes banter	2	Keep safety communication open.
Psychological	Formal inspection after punishment	vulnerability	closure + acknowledgment	2	Behavior-focused.
Psychological	Formal statement that punishment is complete	relief	clear emotional closure	1	Prevents lingering 'still in trouble' feeling.
Psychological	Delayed reward after consequence	frustration + anticipation	contrast	1	Short, bounded delay.
Psychological	Temporary loss of one small choice	minor aversion	authority transfer	1	Not food, medicine, sleep, hygiene, or necessities.
Psychological	Correction card drawn from approved deck	uncertainty	ritualized randomness	1-2	Deck pre-screened together.
