Action ID	Label	Description	Context Categories	Source Origins	Notes
action-arms-held-out-with-a-light-object	Arms held out with a light object	Muscle fatigue + obedience	sensory-intensity:1.00	punishment|Creative Punishments|4	Keep the object light and duration short.
action-arms-out-hold	Arms-out hold	shoulder burn — composure + obedience	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|48	Safety/structure: No heavy weights; protect shoulders.
action-arms-out-hold-after-impact	Arms-out hold after impact	muscle fatigue + composure — requires staying controlled after pain	accountability-structure:0.75;protocol-obedience:0.75	punishment|Pain Batch 2|18	
action-arms-out-hold-with-light-book	Arms-out hold with light book	muscle fatigue — added ritual	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|49	Safety/structure: Keep load light.
action-arrange-cards-in-order-then-leave-one-out-of-sequence	Arrange cards in order, then leave one out of sequence	Pattern disruption	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|29	Safety/structure: Small deck only.
action-arrange-pillows-neatly-except-one-rotated-wrong	Arrange pillows neatly except one rotated wrong	Visual/tactile mismatch	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|40	Safety/structure: No interference with sleep.
action-ask-for-each-next-step	Ask for each next step	Cannot see the full workflow — information throttling	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|64	Safety/structure: Set a max duration.
action-ask-for-each-next-step-instead-of-seeing-whole-plan	Ask for each next step instead of seeing whole plan	information throttling	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|75	Safety/structure: Known total length.
action-ask-permission-before-adding-another-explanation	Ask permission before adding another explanation	meta-control over elaboration	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|61	Safety/structure: Brief window only.
action-ask-permission-before-changing-position-for-five-minutes	Ask permission before changing position for five minutes	micro-protocol + control	accountability-structure:0.50;protocol-obedience:1.00	punishment|Sensory-Control 100|97	Safety/structure: Safety/comfort needs override.
action-ask-permission-before-making-a-harmless-process-improvement	Ask permission before making a harmless process improvement	Control over optimization	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|97	Safety/structure: Short window.
action-ask-permission-before-scratching-an-itch	Ask permission before scratching an itch	minor frustration — micro-control	protocol-obedience:1.00	punishment|Creative Pain 100|77	Safety/structure: Short windows only.
action-ask-permission-before-sitting-down	Ask permission before sitting down	mild inconvenience — temporary power shift	protocol-obedience:1.00	punishment|Creative Pain 100|78	Safety/structure: Never applies to safety/medical needs.
action-ask-permission-for-one-normally-automatic-privilege	Ask permission for one normally automatic privilege	Temporary power shift	playful-psychological:1.00	punishment|Creative Punishments|54	Time-bounded and never applies to necessities.
action-ask-me-one-real-question-reward	Ask-me-one-real-question reward	Taylor asks something he genuinely wants to know about Jackie	connection-attention:1.00;playful-psychological:0.25	reward|Rewards Bonus|82	Curiosity/intimacy.
action-back-massage	Back massage	focused physical care	care-pampering:1.00	reward|Rewards 100|4	Already confirmed reward.
action-balance-a-soft-object-on-head-while-standing	Balance a soft object on head while standing	posture fatigue — restart-if-it-falls game	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|59	Safety/structure: Use harmless object.
action-bank-or-spend-choice	Bank-or-spend choice	Take a small reward now or bank toward a bigger one	choice-privilege:0.75;playful-psychological:1.00	reward|Rewards Bonus|56	Avoid creating stressful debt mechanics.
action-bankable-tell-me-why-youre-proud-of-me-token	Bankable 'tell me why you're proud of me' token	requested focused affirmation	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|81	Redeem when wanted.
action-bath-concierge	Bath concierge	Taylor runs bath and handles towel/drink/setup	care-pampering:0.75;connection-attention:0.75	reward|Rewards Bonus|18	Pampering + no decisions.
action-begin-organizing-a-drawer-then-stop-with-one-section-unfinished	Begin organizing a drawer, then stop with one section unfinished	Interrupted completion	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|26	Safety/structure: Use a small area so it doesn't create real household burden.
action-bite-and-hold	Bite-and-hold	pressure + sharpness — combines pain with control	restraint-control:0.75;sensory-intensity:0.75	punishment|Pain Batch 2|10	
action-bite-and-hold-briefly	Bite-and-hold briefly	pressure + ache — stillness + control	sensory-intensity:1.00	punishment|Creative Pain 100|35	Safety/structure: Short duration; no tissue damage.
action-bite-and-release	Bite-and-release	pressure + sharpness — control + immediacy	sensory-intensity:1.00	punishment|Creative Pain 100|34	Safety/structure: Do not break skin; avoid vulnerable anatomy.
action-blanket-arranged-exactly-right	Blanket arranged exactly right	sensory resolution	sensory-intensity:1.00	reward|Rewards 100|86	Taylor does the arranging.
action-blanket-tucked-exactly-how-jackie-likes	Blanket tucked exactly how Jackie likes	sensory completion + care	care-pampering:1.00	reward|Rewards 100|20	Tiny but potentially high-value.
action-blanket-tucked-tightly-on-one-side-and-loose-on-the-other	Blanket tucked tightly on one side and loose on the other	Uneven pressure	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|10	Safety/structure: No breathing restriction.
action-blind-envelope-draw	Blind envelope draw	Random reward from an approved envelope pool	choice-privilege:0.75;playful-psychological:1.00	reward|Rewards Bonus|55	Only yes-list items.
action-blindfold-silence	Blindfold + silence	Deprivation + anticipation	sensory-intensity:1.00	punishment|Creative Punishments|34	Maintain easy safeword/signal access.
action-blindfold-verbal-instruction-only	Blindfold + verbal instruction only	Dependence on voice	sensory-intensity:1.00	punishment|Creative Punishments|35	Keep environment physically safe.
action-blindfold-during-a-mild-punishment	Blindfold during a mild punishment	amplified anticipation — uncertainty + sensory narrowing	playful-psychological:1.00	punishment|Creative Pain 100|94	Safety/structure: Maintain easy stop signal.
action-board-card-game-night	Board/card game night	play + connection	connection-attention:1.00	reward|Rewards 100|23	Already confirmed reward.
action-book-held-at-chest-height	Book held at chest height	arm burn — formal correction vibe	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|50	Safety/structure: Short duration.
action-book-held-overhead	Book held overhead	shoulder burn — endurance + obedience	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|51	Safety/structure: Light object only; avoid shoulder strain.
action-bookstore-wander	Bookstore wander	curiosity + outing	choice-privilege:1.00	reward|Rewards 100|55	No purchase required.
action-both-feet-massaged-equally	Both feet massaged equally	symmetry + touch	sensory-intensity:1.00	reward|Rewards 100|89	Completion satisfaction.
action-both-socks-freshly-changed-and-perfectly-smooth	Both socks freshly changed and perfectly smooth	sensory 'rightness'	sensory-intensity:1.00	reward|Rewards 100|83	Tiny but tailored.
action-brief-cold-object-hold-in-hand	Brief cold-object hold in hand	Sharp sensory input	sensory-intensity:1.00	punishment|Creative Punishments|10	Short, controlled exposure only.
action-brush-hair	Brush hair	soft care + intimacy	care-pampering:1.00	reward|Rewards 100|6	Already confirmed reward.
action-brush-hair-with-one-stroke-pause-repeat	Brush hair with one stroke, pause, repeat	Interrupts soothing rhythm	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|75	Safety/structure: Only if it is aversive; avoid tangles.
action-build-a-simple-block-pattern-from-a-picture-under-time-limit	Build a simple block pattern from a picture under time limit	Visual precision + timer — spatial performance	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|49	Safety/structure: Large safe pieces.
action-build-a-symmetrical-pattern-then-remove-one-piece	Build a symmetrical pattern then remove one piece	broken symmetry	playful-psychological:0.75;sensory-intensity:0.50	punishment|Sensory-Control 100|91	Safety/structure: Safe pieces.
action-button-a-shirt-but-leave-one-harmless-middle-button-undone	Button a shirt but leave one harmless middle button undone	Pattern violation	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|36	Safety/structure: No wardrobe malfunction risk.
action-buy-one-stupid-little-thing-rule	Buy-one-stupid-little-thing rule	Purchase one amusing non-practical item	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|31	Tiny budget.
action-cane-taps-to-thighs-butt	Cane taps to thighs/butt	sharp, precise sting — highly disciplinary feel	impact:1.00	punishment|Pain Batch 2|2	
action-carry-a-note-card-saying-what-rule-was-broken	Carry a note/card saying what rule was broken	Mild embarrassment + reminder	playful-psychological:1.00	punishment|Creative Punishments|52	Keep private/public exposure within explicit consent.
action-carry-objects-individually-instead-of-batching	Carry objects individually instead of batching	No batching allowed	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|87	Safety/structure: Light objects only.
action-carry-out-one-exact-service-instruction	Carry out one exact service instruction	mild effort — precision + restitution	protocol-obedience:1.00	punishment|Creative Pain 100|80	Safety/structure: Keep task reasonable.
action-caught-being-good-reward	Caught-being-good reward	Taylor spontaneously rewards something he genuinely noticed	playful-psychological:0.50;praise-recognition:1.00	reward|Rewards Bonus|51	Excellent non-transactional recognition.
action-celebratory-mini-presentation	Celebratory mini-presentation	Jackie teaches Taylor something cool she learned	connection-attention:0.50;playful-psychological:0.50;praise-recognition:0.75	reward|Rewards Bonus|44	Praise, not evaluation.
action-chair-hover	Chair hover	thigh burn — controlled discomfort	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|54	Safety/structure: Use nearby support.
action-checklist-with-one-harmless-item-left-unchecked	Checklist with one harmless item left unchecked	open-loop tension	playful-psychological:0.75;sensory-intensity:0.50	punishment|Sensory-Control 100|85	Safety/structure: Never essential tasks.
action-choose-a-gift-concept-for-a-fictional-person	Choose a gift concept for a fictional person	Must commit with incomplete info — ambiguity + decision burden	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|17	Safety/structure: Fictional scenario only.
action-choose-a-random-topic-category-for-your-own-assignment	Choose a random topic category for your own assignment	You create the constraint that will bind you — self-imposed decision	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|14	Safety/structure: Topic remains safe/low-stakes.
action-choose-criteria-before-seeing-options	Choose criteria before seeing options	Commit to evaluation framework first — limits post-hoc optimization	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|81	Safety/structure: Fictional choice set.
action-choose-from-10-equally-acceptable-options	Choose from 10 equally acceptable options	Must narrow a broad menu to one — choice overload	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|5	Safety/structure: All options genuinely acceptable.
action-choose-one-household-task-to-deprioritize	Choose one household task to deprioritize	Must explicitly let one thing wait — anti-completion + prioritization	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|11	Safety/structure: Only nonessential chores.
action-choose-one-of-three-imperfect-options	Choose one of three imperfect options	tradeoff discomfort	accountability-structure:0.50;protocol-obedience:1.00	punishment|Sensory-Control 100|95	Safety/structure: Fictional or harmless choices.
action-choose-one-reward-and-reject-the-other-two-for-that-night	Choose one reward and reject the other two for that night	Opportunity-cost discomfort — commitment + loss of alternatives	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|13	Safety/structure: All are optional pleasures.
action-choose-taylors-outfit-from-approved-options	Choose Taylor's outfit from approved options	Own another person's harmless aesthetic decision — decision responsibility	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|7	Safety/structure: Taylor pre-approves the available clothing.
action-choose-the-exact-takeout-order-under-a-time-limit	Choose the exact takeout order under a time limit	Decision ownership + timer — time pressure + finality	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|16	Safety/structure: Enough time to avoid panic; no food-needs interference.
action-choose-the-movie-and-commit-without-reopening	Choose the movie and commit without reopening	decision finality	accountability-structure:0.50;protocol-obedience:1.00	punishment|Sensory-Control 100|94	Safety/structure: Low stakes.
action-choose-the-movie-and-justify-it	Choose the movie and justify it	Pick one movie and give one reason; no 'whatever you want' — commitment + ownership	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|4	Safety/structure: No reopening after selection unless practical issue arises.
action-choose-the-next-weekend-micro-outing	Choose the next weekend micro-outing	Must make the call without brainstorming endlessly — closure pressure	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|20	Safety/structure: Can be a 30-minute outing.
action-choose-the-route-for-an-outing	Choose the route for an outing	Must pick route/parking plan without asking — uncertainty + ownership	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|8	Safety/structure: Navigation safety overrides game.
action-choose-which-of-three-chores-taylor-does-and-which-you-do	Choose which of three chores Taylor does and which you do	Must distribute labor explicitly — responsibility + fairness	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|18	Safety/structure: Keep chores small and optional.
action-choose-the-bedtime-vibe	Choose-the-bedtime-vibe	Jackie chooses movie/music/cuddle/game/quiet	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|23	Low-stakes agency reward.
action-choose-your-own-implement	Choose-your-own implement	self-selected punishment — can feel more intense psychologically	playful-psychological:1.00	punishment|Pain Batch 2|26	
action-chore-swap-coupon	Chore swap coupon	Swap a disliked chore for one Jackie minds less	care-pampering:0.50;service:1.00	reward|Rewards Bonus|22	Keep responsibilities balanced overall.
action-clean-a-surface-but-leave-one-harmless-spot-untouched	Clean a surface but leave one harmless spot untouched	Visual unfinishedness	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|32	Safety/structure: Not unsanitary mess.
action-clean-or-organize-one-specific-thing-as-restitution	Clean or organize one specific thing as restitution	Tangible corrective result	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|45	Good low-intensity option.
action-closed-book-summary	Closed-book summary	Study for 10 minutes, close materials, summarize from memory — memory + performance	accountability-structure:1.00	punishment|Cognitive 100|30	Safety/structure: No shaming for forgetting.
action-clothespins-on-agreed-low-risk-areas	Clothespins on agreed low-risk areas	sustained pinch — anticipation + removal sensitivity	sensory-intensity:1.00	punishment|Creative Pain 100|25;punishment|Creative Punishments|9	Safety/structure: Monitor color/circulation; keep duration short. | Pre-agree placement and duration.
action-coat-fingertips-lightly-with-syrup-and-wait-before-washing	Coat fingertips lightly with syrup and wait before washing	Sticky residue + delayed resolution	sensory-intensity:1.00	punishment|Nontraditional 100|50	Safety/structure: Small amount; keep away from electronics/fabrics.
action-coffee-shop-date	Coffee shop date	out-of-house connection	choice-privilege:1.00	reward|Rewards 100|57	Short and easy.
action-coffee-drink-couch-conversation	Coffee/drink + couch conversation	low-pressure connection	connection-attention:1.00	reward|Rewards 100|34	Casual, not relationship summit.
action-cold-damp-cloth-on-back-of-neck	Cold damp cloth on back of neck	cold + localized wetness	sensory-intensity:1.00	punishment|Sensory-Control 100|13	Safety/structure: Avoid if it causes headache/dizziness.
action-cold-shower-followed-by-a-required-30-second-stillness-before-toweling	Cold shower followed by a required 30-second stillness before toweling	delayed sensory resolution	sensory-intensity:1.00	punishment|Sensory-Control 100|6	Safety/structure: Warm room; stop if shivering becomes intense.
action-cold-shower-while-counting-slowly	Cold shower while counting slowly	cold + forced attention	sensory-intensity:1.00	punishment|Sensory-Control 100|4	Safety/structure: Known count/end point.
action-cold-shower-with-arms-kept-at-sides	Cold shower with arms kept at sides	cold + reduced ability to shield body	sensory-intensity:1.00	punishment|Sensory-Control 100|3	Safety/structure: No restraint; normal movement always allowed for safety.
action-cold-shower-with-visible-timer	Cold shower with visible timer	anticipation + sustained cold	sensory-intensity:1.00	punishment|Sensory-Control 100|5	Safety/structure: Short, explicit maximum.
action-cold-shower-short-bounded-interval	Cold shower, short bounded interval	whole-body cold + loss of preferred sensory control	sensory-intensity:1.00	punishment|Sensory-Control 100|2	Safety/structure: Keep brief; stop for dizziness, numbness, breathing difficulty, or distress.
action-cold-wet-hands-placed-briefly-on-shoulders-arms	Cold wet hands placed briefly on shoulders/arms	unexpected cold + touch	sensory-intensity:1.00	punishment|Sensory-Control 100|21	Safety/structure: No extreme cold or startling if unsafe.
action-collar-ritual-item-moment-if-desired	Collar/ritual-item moment if desired	symbolic recognition + connection	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|75	Only if already meaningful/consensual.
action-combo-reward	Combo reward	Bundle two or three small rewards	choice-privilege:0.75;playful-psychological:1.00	reward|Rewards Bonus|58	Good for milestones.
action-come-here-token	Come-here token	Redeem for a short intentional cuddle when practical	care-pampering:0.75;connection-attention:0.75	reward|Rewards Bonus|13	Not an entitlement to interrupt urgent needs.
action-come-sit-with-me-summons	Come-sit-with-me summons	Taylor claims Jackie for intentional cuddles	connection-attention:1.00	reward|Rewards Bonus|69	Reward because she gets chosen.
action-comparison-matrix	Comparison matrix	Compare A/B/C on exactly four criteria — structured analysis	accountability-structure:1.00	punishment|Cognitive 100|36	Safety/structure: Criteria chosen in advance.
action-complete-a-checklist-except-one-harmless-item-stays-unchecked-until-release	Complete a checklist except one harmless item stays unchecked until release	Open-loop tension	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|30	Safety/structure: Never use medication, hygiene, food, or safety tasks.
action-complete-a-simple-command-sequence-perfectly	Complete a simple command sequence perfectly	Precision + correction	protocol-obedience:1.00	punishment|Creative Punishments|21	Keep it playful and achievable.
action-complete-a-small-task-with-materials-placed-inconveniently-apart	Complete a small task with materials placed inconveniently apart	Extra steps	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|99	Safety/structure: No trip hazards.
action-complete-a-task-without-multitasking	Complete a task without multitasking	Denial of concurrency	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|77	Safety/structure: Short, harmless task.
action-complete-a-three-command-sequence	Complete a three-command sequence	precision — must listen carefully	protocol-obedience:1.00	punishment|Creative Pain 100|74	Safety/structure: Keep achievable, not trick-based.
action-complete-a-tiny-block-build-using-only-the-shown-image	Complete a tiny block build using only the shown image	Spatial inference — no step-by-step support	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|57	Safety/structure: Large enough pieces to be safe.
action-complete-a-tiny-cleanup-task-using-only-one-hand	Complete a tiny cleanup task using only one hand	Efficiency restriction	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|69	Safety/structure: No knives, heat, breakables, or hazardous tasks.
action-complete-a-trivial-task-without-preparing-all-materials-first	Complete a trivial task without preparing all materials first	Workflow inefficiency	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|88	Safety/structure: No safety-sensitive tasks.
action-complete-task-in-taylors-chosen-order	Complete task in Taylor's chosen order	loss of prioritization control	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|74	Safety/structure: All tasks nonessential.
action-consistency-jackpot	Consistency jackpot	Surprise reward after sustained effort	playful-psychological:0.50;praise-recognition:1.00	reward|Rewards Bonus|52	Not a rigid streak that punishes one miss.
action-convince-me-game	Convince-me game	Jackie gets five minutes to persuade Taylor about something inconsequential	connection-attention:0.75;playful-psychological:0.75	reward|Rewards Bonus|42	Playful rhetoric.
action-cool-shower-while-taylor-controls-when-it-returns-warm	Cool shower while Taylor controls when it returns warm	loss of sensory control + anticipation	sensory-intensity:1.00	punishment|Sensory-Control 100|17	Safety/structure: Pre-agreed short max; Jackie can stop at any time.
action-cool-water-over-one-leg-only	Cool water over one leg only	temperature asymmetry	sensory-intensity:1.00	punishment|Sensory-Control 100|15	Safety/structure: Non-slip setup.
action-copy-a-paragraph-with-zero-abbreviations	Copy a paragraph with zero abbreviations	Forced exactness — suppresses shorthand	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|60	Safety/structure: Keep short.
action-copy-a-pattern-without-rotating-the-paper	Copy a pattern without rotating the paper	Spatial constraint — denied preferred adjustment	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|54	Safety/structure: Simple pattern.
action-copy-a-short-paragraph-perfectly-under-a-timer	Copy a short paragraph perfectly under a timer	Precision + time pressure — accuracy under countdown	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|43	Safety/structure: Short enough to prevent hand strain.
action-correction-card-drawn-from-approved-deck	Correction card drawn from approved deck	uncertainty — ritualized randomness	playful-psychological:1.00	punishment|Creative Pain 100|101	Safety/structure: Deck pre-screened together.
action-correction-ritual-ending-with-formal-release	Correction ritual ending with formal release	Containment + closure	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|50	Explicit 'done/resolved' ending can prevent lingering shame.
action-count-backward-through-impacts	Count backward through impacts	cognitive load + sting — harder concentration	playful-psychological:1.00;protocol-obedience:1.00	punishment|Creative Pain 100|70;punishment|Pain Batch 2|24	Safety/structure: Keep arithmetic simple.
action-count-backward-while-folding-towels	Count backward while folding towels	Cognitive interference — working-memory load	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|50	Safety/structure: Simple numbers only.
action-count-each-impact-aloud	Count each impact aloud	attention under pain — ritual + accountability	protocol-obedience:1.00	punishment|Creative Pain 100|69	Safety/structure: Pre-agreed physical play only.
action-count-each-impact-sensation	Count each impact/sensation	Keeps attention present	protocol-obedience:1.00	punishment|Creative Punishments|18	Use only with already-negotiated physical play.
action-cozy-nest-prepared-in-advance	Cozy nest prepared in advance	being cared for before asking	care-pampering:1.00	reward|Rewards 100|9	Blankets, pillows, drink, charger ready.
action-craft-hobby-store-wander	Craft/hobby store wander	idea stimulation + outing	choice-privilege:1.00	reward|Rewards 100|64	Purchase optional.
action-create-something-together	Create something together	shared novelty + collaboration	choice-privilege:0.75;playful-psychological:0.50	reward|Rewards 100|99	Could be cooking, craft, game build, etc.
action-create-the-evening-schedule	Create the evening schedule	Assign times/order for dinner, game, bath, movie, etc. — planning burden	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|9	Safety/structure: Keep flexible if real needs arise.
action-curiosity-roulette	Curiosity roulette	Taylor asks a weird question and you rabbit-hole together	connection-attention:0.75;playful-psychological:0.75	reward|Rewards Bonus|40	Pure shared curiosity.
action-defend-the-opposite	Defend the opposite	Make the strongest case for a harmless position you initially dislike — cognitive flexibility	accountability-structure:1.00	punishment|Cognitive 100|29	Safety/structure: Avoid personally sensitive beliefs.
action-defend-your-decision-for-two-minutes-without-adding-new-options	Defend your decision for two minutes without adding new options	Must commit instead of reopening — commitment + no hedging	accountability-structure:1.00	punishment|Cognitive 100|99	Safety/structure: Harmless decision only.
action-delayed-access-to-a-treat	Delayed access to a treat	Anticipation + denial	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|47	Short and clearly bounded.
action-delayed-impact	Delayed impact	anticipation > force — waiting before each one adds psychological weight	playful-psychological:1.00	punishment|Pain Batch 2|23	
action-delayed-reward-after-consequence	Delayed reward after consequence	frustration + anticipation — contrast	playful-psychological:1.00	punishment|Creative Pain 100|99	Safety/structure: Short, bounded delay.
action-dessert-run	Dessert run	tiny spontaneous outing	choice-privilege:1.00	reward|Rewards 100|58	Food is reward only, never withheld as punishment.
action-do-not-combine-two-compatible-chores	Do not combine two compatible chores	Forced serial processing	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|94	Safety/structure: Tiny tasks only.
action-do-not-correct-taylors-harmless-inefficient-demonstration	Do not correct Taylor's harmless inefficient demonstration	Suppress the urge to optimize — suppressed correction impulse	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|77	Safety/structure: No consequential tasks.
action-do-not-multitask-during-a-tiny-chore	Do not multitask during a tiny chore	denial of concurrency	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|70	Safety/structure: Brief task only.
action-dont-move-drill	Don't-move drill	stillness under urge to react — lizard brain vs chosen obedience	protocol-obedience:1.00	punishment|Creative Pain 100|62;punishment|Creative Punishments|12	Safety/structure: Safewords/necessary movement always override. | Safewords and necessary movement always override.
action-double-reward-coin-flip	Double-reward coin flip	Chance to turn one reward into two	playful-psychological:0.50;praise-recognition:1.00	reward|Rewards Bonus|48	Pure gamification.
action-dramatic-complaint-pass	Dramatic-complaint pass	Taylor enthusiastically validates a low-stakes injustice	playful-psychological:1.00	reward|Rewards Bonus|78	For silly complaints, not serious issues.
action-drink-brought-to-jackie-without-asking	Drink brought to Jackie without asking	anticipatory caretaking	care-pampering:1.00	reward|Rewards 100|18	Favorite normal drink.
action-drip-clean-water-down-one-side-of-face-only	Drip clean water down one side of face only	facial asymmetry + wetness	sensory-intensity:1.00	punishment|Sensory-Control 100|20	Safety/structure: Small amounts, nose/mouth clear.
