Source Sheet	Source File	Source Row	Category	Idea	Description / Sensation	Mechanism / Why It Might Hit	Predicted Fit	Suggested Intensity (1-3)	Safety / Structure Note	Notes
Creative Pain 100	jackie_creative_punishment_100.csv	24	Localized Pain	Fingernail pinch	narrow sharp pressure	small but intense correction		2	Avoid breaking skin.	
Creative Pain 100	jackie_creative_punishment_100.csv	25	Localized Pain	Clothespins on agreed low-risk areas	sustained pinch	anticipation + removal sensitivity		2-3	Monitor color/circulation; keep duration short.	
Creative Pain 100	jackie_creative_punishment_100.csv	26	Localized Pain	Single clothespin endurance hold	focused pinch	stillness		2	Short, monitored interval.	
Creative Pain 100	jackie_creative_punishment_100.csv	27	Localized Pain	Pinch-and-release rhythm	sharp bursts	counting + anticipation		2	Easy to modulate.	
Creative Pain 100	jackie_creative_punishment_100.csv	28	Localized Pain	Flicking	tiny sharp sting	annoyance + repetition		1-2	Avoid face/eyes and vulnerable tissue.	
Creative Pain 100	jackie_creative_punishment_100.csv	29	Localized Pain	Rubber-band snap on safe fleshy area	quick sting	sudden correction		1-2	Do not use on face, genitals, or compromised skin.	
Creative Pain 100	jackie_creative_punishment_100.csv	30	Localized Pain	Firm brush strokes	prickly sting	repetitive sensory correction		2	Use skin-safe brush, stop before irritation.	
Creative Pain 100	jackie_creative_punishment_100.csv	31	Localized Pain	Pinwheel on agreed skin areas	prickly sharp sensation	anticipation + focus		2	Avoid broken skin and delicate areas.	
Creative Pain 100	jackie_creative_punishment_100.csv	32	Localized Pain	Scratching without breaking skin	surface sting	control + immediacy		2	Keep nails smooth and skin intact.	
Creative Pain 100	jackie_creative_punishment_100.csv	33	Localized Pain	Scratch-and-freeze	surface sting	react-vs-obey tension		2-3	Safewords and necessary movement exempt.	
Creative Pain 100	jackie_creative_punishment_100.csv	34	Localized Pain	Bite-and-release	pressure + sharpness	control + immediacy		2	Do not break skin; avoid vulnerable anatomy.	
Creative Pain 100	jackie_creative_punishment_100.csv	35	Localized Pain	Bite-and-hold briefly	pressure + ache	stillness + control		2-3	Short duration; no tissue damage.	
Creative Pain 100	jackie_creative_punishment_100.csv	36	Localized Pain	Hair pulling close to scalp	scalp tension	control + posture		2	Pull close to scalp, not from hair ends.	
Creative Pain 100	jackie_creative_punishment_100.csv	37	Localized Pain	Hair-pull posture cue	scalp tension	physical guidance + obedience		2	No neck jerking.	
Creative Pain 100	jackie_creative_punishment_100.csv	38	Localized Pain	Firm grip squeeze on fleshy area	deep localized pressure	controlled discomfort		2	Avoid nerves/joints and numbness.	
Creative Pain 100	jackie_creative_punishment_100.csv	39	Localized Pain	Repeated light snaps to one safe area	accumulating sting	builds sensation gradually		2	Stop before skin damage.	
Creative Pain 100	jackie_creative_punishment_100.csv	40	Localized Pain	Pinch while maintaining eye contact	sharp pressure	vulnerability + composure		2-3	Bounded duration.	
Creative Pain 100	jackie_creative_punishment_100.csv	41	Localized Pain	Alternating pinch locations	sharp contrast	uncertainty		2	Stay within pre-approved areas.	
Creative Pain 100	jackie_creative_punishment_100.csv	42	Endurance	Wall sit	muscle burn	hold-until-released obedience		2	Short intervals; stop for joint pain/dizziness.	
Creative Pain 100	jackie_creative_punishment_100.csv	43	Endurance	Wall sit with visible timer	muscle burn	watching the clock		2	Known endpoint.	
Creative Pain 100	jackie_creative_punishment_100.csv	44	Endurance	Wall sit with hidden timer and known max	muscle burn	bounded uncertainty		2-3	Maximum stated in advance.	
Creative Pain 100	jackie_creative_punishment_100.csv	45	Endurance	Slow squat hold	thigh burn	stillness + discipline		2	Avoid if knees are unhappy.	
Creative Pain 100	jackie_creative_punishment_100.csv	46	Endurance	Plank hold	full-body burn	endurance + focus		2	Use proper form and short intervals.	
Creative Pain 100	jackie_creative_punishment_100.csv	47	Endurance	Forearm plank with counting task	full-body burn	cognitive load		2-3	Stop for sharp pain.	
Creative Pain 100	jackie_creative_punishment_100.csv	48	Endurance	Arms-out hold	shoulder burn	composure + obedience		2	No heavy weights; protect shoulders.	
Creative Pain 100	jackie_creative_punishment_100.csv	49	Endurance	Arms-out hold with light book	muscle fatigue	added ritual		2	Keep load light.	
Creative Pain 100	jackie_creative_punishment_100.csv	50	Endurance	Book held at chest height	arm burn	formal correction vibe		2	Short duration.	
Creative Pain 100	jackie_creative_punishment_100.csv	51	Endurance	Book held overhead	shoulder burn	endurance + obedience		2	Light object only; avoid shoulder strain.	
Creative Pain 100	jackie_creative_punishment_100.csv	52	Endurance	Tiptoe hold against wall	calf burn + balance	annoying obedience		2	Use wall support.	
Creative Pain 100	jackie_creative_punishment_100.csv	53	Endurance	Static lunge hold	leg burn	discipline + balance		2	Keep knee alignment safe.	
Creative Pain 100	jackie_creative_punishment_100.csv	54	Endurance	Chair hover	thigh burn	controlled discomfort		2	Use nearby support.	
Creative Pain 100	jackie_creative_punishment_100.csv	55	Endurance	Kneeling posture on safe surface	pressure + stillness	ritual + submission		1-2	Protect knees; no sharp surfaces.	
Creative Pain 100	jackie_creative_punishment_100.csv	56	Endurance	Kneeling with hands placed as instructed	pressure + posture	obedience + ritual		2	Avoid painful shoulder positions.	
Creative Pain 100	jackie_creative_punishment_100.csv	57	Endurance	Kneel then stand only on permission	pressure + anticipation	loss of choice		2	Known max duration.	
Creative Pain 100	jackie_creative_punishment_100.csv	58	Endurance	Hold a light object in outstretched hands	arm burn	precision + endurance		2	Lightweight only.	
Creative Pain 100	jackie_creative_punishment_100.csv	59	Endurance	Balance a soft object on head while standing	posture fatigue	restart-if-it-falls game		1-2	Use harmless object.	
Creative Pain 100	jackie_creative_punishment_100.csv	60	Endurance	Static posture after impact	muscle fatigue + after-sting	composure		2-3	Keep posture reasonable.	
Creative Pain 100	jackie_creative_punishment_100.csv	61	Endurance	Short staircase of posture holds	varied muscle burn	progressive ritual		2	Keep total duration modest.	
Creative Pain 100	jackie_creative_punishment_100.csv	62	Obedience	Don't-move drill	stillness under urge to react	lizard brain vs chosen obedience		2	Safewords/necessary movement always override.	
Creative Pain 100	jackie_creative_punishment_100.csv	63	Obedience	Permission required to shift position	loss of control	micro-obedience		2	Time-bounded.	
Creative Pain 100	jackie_creative_punishment_100.csv	64	Obedience	Permission required to speak	verbal restraint	focus + control		2	Safety communication always unrestricted.	
Creative Pain 100	jackie_creative_punishment_100.csv	65	Obedience	Hands-on-head posture	mild shoulder fatigue	visible submission		1-2	Short intervals.	
Creative Pain 100	jackie_creative_punishment_100.csv	66	Obedience	Hands-behind-back posture	postural tension	formal obedience		1-2	Do not force shoulders.	
Creative Pain 100	jackie_creative_punishment_100.csv	67	Obedience	Eyes-forward stance	stillness	composure		1	Low-risk ritual element.	
Creative Pain 100	jackie_creative_punishment_100.csv	68	Obedience	Hold eye contact during correction	psychological intensity	attention + vulnerability		2	Easy opt-out.	
Creative Pain 100	jackie_creative_punishment_100.csv	69	Obedience	Count each impact aloud	attention under pain	ritual + accountability		2-3	Pre-agreed physical play only.	
Creative Pain 100	jackie_creative_punishment_100.csv	70	Obedience	Count backward through impacts	cognitive load + sting	harder concentration		3	Keep arithmetic simple.	
Creative Pain 100	jackie_creative_punishment_100.csv	71	Obedience	Repeat a short acknowledgment after each count	ritual	behavior-focused correction		2	Avoid identity-shaming language.	
Creative Pain 100	jackie_creative_punishment_100.csv	72	Obedience	Recite the relevant rule while holding posture	muscle burn + verbal focus	ties sensation to behavior		2-3	Keep wording concise.	
Creative Pain 100	jackie_creative_punishment_100.csv	73	Obedience	Respond only with agreed short answers	structured control	loss of conversational freedom		1-2	Safewords exempt.	
Creative Pain 100	jackie_creative_punishment_100.csv	74	Obedience	Complete a three-command sequence	precision	must listen carefully		1-2	Keep achievable, not trick-based.	
Creative Pain 100	jackie_creative_punishment_100.csv	75	Obedience	Restart posture timer if voluntary fidgeting occurs	muscle burn	stillness challenge		2	Cap restarts so it cannot become endless.	
Creative Pain 100	jackie_creative_punishment_100.csv	76	Obedience	Return to position after each impact	after-sting + movement control	composure		2-3	No forced movement through injury.	
Creative Pain 100	jackie_creative_punishment_100.csv	77	Obedience	Ask permission before scratching an itch	minor frustration	micro-control		1	Short windows only.	
Creative Pain 100	jackie_creative_punishment_100.csv	78	Obedience	Ask permission before sitting down	mild inconvenience	temporary power shift		1	Never applies to safety/medical needs.	
Creative Pain 100	jackie_creative_punishment_100.csv	79	Obedience	Stay in designated spot until dismissed	anticipation	authority + containment		1-2	Known maximum duration.	
Creative Pain 100	jackie_creative_punishment_100.csv	80	Obedience	Carry out one exact service instruction	mild effort	precision + restitution		1	Keep task reasonable.	
Creative Pain 100	jackie_creative_punishment_100.csv	81	Obedience	Formal kneel-wait-dismiss ritual	pressure + stillness	clear disciplinary arc		2	Include explicit end/release.	
Creative Pain 100	jackie_creative_punishment_100.csv	82	Psychological	Visible countdown timer	anticipation	watching consequence approach/end		1-2	Known endpoint.	
Creative Pain 100	jackie_creative_punishment_100.csv	83	Psychological	Hidden timer with known maximum	uncertainty	bounded anticipation		2	Maximum explicit beforehand.	
Creative Pain 100	jackie_creative_punishment_100.csv	84	Psychological	Wait in position before consequence	anticipation	not knowing exact start moment		2	Short pre-agreed window.	
Creative Pain 100	jackie_creative_punishment_100.csv	85	Psychological	Mystery punishment from approved list	uncertainty	surrendered choice		2-3	Only pre-consented options.	
Creative Pain 100	jackie_creative_punishment_100.csv	86	Psychological	Taylor chooses from three approved options	anticipation	loss of choice		2	All three must be acceptable.	
Creative Pain 100	jackie_creative_punishment_100.csv	87	Psychological	Jackie chooses one of three approved options	self-selection	accountability + commitment		2	No coercive 'bad choice' framing.	
Creative Pain 100	jackie_creative_punishment_100.csv	88	Psychological	Write a short reflection before release	mental effort	links consequence to behavior		1-2	Keep it concise.	
Creative Pain 100	jackie_creative_punishment_100.csv	89	Psychological	Write lines tied to the actual rule	repetition	corrective ritual		1	Avoid excessive volume.	
Creative Pain 100	jackie_creative_punishment_100.csv	90	Psychological	Read reflection aloud	vulnerability	accountability		2	Skip if emotionally overwhelming.	
Creative Pain 100	jackie_creative_punishment_100.csv	91	Psychological	State what happened without explanation first	directness	separates fact from justification		1-2	Follow with context afterward.	
Creative Pain 100	jackie_creative_punishment_100.csv	92	Psychological	State one concrete next-time plan	closure	behavior-focused correction		1	Useful end ritual.	
Creative Pain 100	jackie_creative_punishment_100.csv	93	Psychological	Listen to a pre-agreed corrective recording while still	immersive focus	voice + containment		3	No identity attacks; immediate stop option.	
Creative Pain 100	jackie_creative_punishment_100.csv	94	Psychological	Blindfold during a mild punishment	amplified anticipation	uncertainty + sensory narrowing		2-3	Maintain easy stop signal.	
Creative Pain 100	jackie_creative_punishment_100.csv	95	Psychological	Headphones with non-startling audio during posture hold	isolation + focus	immersion		2	Do not block emergency communication.	
Creative Pain 100	jackie_creative_punishment_100.csv	96	Psychological	Silent correction period	serious tone	removes banter		2	Keep safety communication open.	
Creative Pain 100	jackie_creative_punishment_100.csv	97	Psychological	Formal inspection after punishment	vulnerability	closure + acknowledgment		2	Behavior-focused.	
Creative Pain 100	jackie_creative_punishment_100.csv	98	Psychological	Formal statement that punishment is complete	relief	clear emotional closure		1	Prevents lingering 'still in trouble' feeling.	
Creative Pain 100	jackie_creative_punishment_100.csv	99	Psychological	Delayed reward after consequence	frustration + anticipation	contrast		1	Short, bounded delay.	
Creative Pain 100	jackie_creative_punishment_100.csv	100	Psychological	Temporary loss of one small choice	minor aversion	authority transfer		1	Not food, medicine, sleep, hygiene, or necessities.	
Creative Pain 100	jackie_creative_punishment_100.csv	101	Psychological	Correction card drawn from approved deck	uncertainty	ritualized randomness		1-2	Deck pre-screened together.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	2	Asymmetry	One sock on, one sock off		Persistent body asymmetry	High		Short, bounded duration; remove immediately if distress stops being playful.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	3	Asymmetry	One sleeve rolled up, one sleeve down		Uneven skin/clothing sensation	Medium		No circulation restriction.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	4	Asymmetry	One pant leg cuffed, one uncuffed		Visual + tactile imbalance	Medium		Keep walking-safe.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	5	Asymmetry	One shoe on, one shoe off while seated		Uneven foot sensation	High		Seated only; no walking.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	6	Asymmetry	One ankle covered, one exposed		Temperature/tactile mismatch	Medium		Keep room temperature comfortable.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	7	Asymmetry	One hand gloved, one bare		Different texture/temperature on each hand	Medium		Use breathable glove; short duration.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	8	Asymmetry	Hair tucked behind only one ear		Persistent 'wrong side' awareness	Low-Medium		Easy reset afterward.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	9	Asymmetry	One cuff buttoned, one unbuttoned		Clothing mismatch	Low-Medium		Avoid anything tight.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	10	Asymmetry	Blanket tucked tightly on one side and loose on the other		Uneven pressure	Medium		No breathing restriction.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	11	Asymmetry	Sit with one foot on a soft mat and one on bare floor		Uneven sensory input	Medium		Stable seated position.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	12	Asymmetry	One wrist wearing a soft band, the other bare		One-sided awareness	Low-Medium		Loose enough for normal circulation.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	13	Asymmetry	One side of hair brushed neatly, the other left messy		Visual/tactile incompleteness	Medium		No painful tangles.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	14	Asymmetry	One side gets lotion, the other stays dry		Texture contrast	Medium		Use skin-safe lotion.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	15	Asymmetry	One hand clean, one intentionally slightly sticky		One-sided residue mismatch	High		Use food-safe, non-irritating substance.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	16	Asymmetry	One side of a pillow/blanket arranged perfectly, the other intentionally rumpled		Visual + tactile mismatch	Medium		Keep sleep itself out of punishment.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	17	Asymmetry	One sock pulled perfectly smooth, the other slightly bunched		Localized fabric wrongness	High		No constriction; short duration.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	18	Asymmetry	One sleeve cuffed neatly, the other crooked		Visual/tactile mismatch	Medium		Keep comfortable.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	19	Asymmetry	One side of a hoodie zipped/arranged 'right,' the other slightly off		Persistent asymmetry cue	Medium		No choking/neck pressure.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	20	Asymmetry	Only one side receives agreed impact		Physical imbalance / incompleteness	High		Use conservative impact; asymmetry should do the work, not excess force.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	21	Asymmetry	Only one thigh receives agreed pinching/scratching		One-sided after-sensation	High		Stay within negotiated low-risk areas; no skin damage.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	22	Incompleteness	Start folding a towel perfectly, then stop halfway		Completion itch	Medium		Leave only briefly.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	23	Incompleteness	Align three objects, leave the fourth visibly crooked		Visual incompleteness	Medium		Harmless household objects only.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	24	Incompleteness	Make the bed except for one intentionally wrinkled corner		Unresolved visual imperfection	Medium		Not during actual bedtime.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	25	Incompleteness	Sort a small set by category, leave one item deliberately misplaced		Classification itch	Medium		Tiny, bounded task.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	26	Incompleteness	Begin organizing a drawer, then stop with one section unfinished		Interrupted completion	High		Use a small area so it doesn't create real household burden.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	27	Incompleteness	Stack objects neatly except one rotated 90 degrees		Pattern violation	Medium		Stable, non-breakable objects.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	28	Incompleteness	Set a table with one item intentionally off-center		Visual wrongness	Low-Medium		Keep it playful.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	29	Incompleteness	Arrange cards in order, then leave one out of sequence		Pattern disruption	Medium		Small deck only.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	30	Incompleteness	Complete a checklist except one harmless item stays unchecked until release		Open-loop tension	High		Never use medication, hygiene, food, or safety tasks.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	31	Incompleteness	Write a neat list but leave one bullet unfinished		Language/completion itch	Medium		Short duration.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	32	Incompleteness	Clean a surface but leave one harmless spot untouched		Visual unfinishedness	Medium		Not unsanitary mess.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	33	Incompleteness	Match pairs of objects and leave one intentionally unmatched		Pairing asymmetry	Medium		Small set.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	34	Incompleteness	Put away every item except one left conspicuously out		Completion denial	Medium		Harmless item, known endpoint.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	35	Incompleteness	Start a tiny puzzle and stop one piece before completion		Near-completion frustration	High		Use a very small puzzle.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	36	Incompleteness	Button a shirt but leave one harmless middle button undone		Pattern violation	Medium		No wardrobe malfunction risk.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	37	Incompleteness	Tie one shoelace neatly and leave the other loose while seated		Unfinished pair	Medium		Seated only.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	38	Incompleteness	Make a symmetrical pattern then deliberately remove one piece		Broken symmetry	High		Use non-fragile pieces.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	39	Incompleteness	Organize pens by color but leave one in the wrong group		Classification disruption	Medium		Tiny setup.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	40	Incompleteness	Arrange pillows neatly except one rotated wrong		Visual/tactile mismatch	Medium		No interference with sleep.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	41	Incompleteness	Stop a repetitive task one repetition before the satisfying endpoint		Interrupted rhythm	High		Use harmless, short tasks.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	42	Sensory Wrongness	Step barefoot on peeled grapes in a contained tray		Wet + yielding + unpredictable squish	High		Non-slip setup; seated support nearby; clean immediately after.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	43	Sensory Wrongness	Hold peeled grapes and gently squash them by hand		Wet squish + residue	High		Food-safe, short duration.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	44	Sensory Wrongness	Handle a damp sponge with bare hands		Wet compression	Medium		Clean sponge, room-temperature water.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	45	Sensory Wrongness	Touch wet paper and separate stuck layers		Mushy fragile texture	High		Clean paper/water only.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	46	Sensory Wrongness	Mash ripe banana with fingers		Sticky + mushy	High		Food-safe and brief.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	47	Sensory Wrongness	Handle cooked, cooled pasta with bare hands		Slippery + limp texture	Medium-High		Fresh, cooled food; no choking context.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	48	Sensory Wrongness	Pick soft fruit pieces out of a bowl of water		Wet + soft + fine-motor focus	High		Use edible/clean materials.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	49	Sensory Wrongness	Hold a food-safe gelatin cube until released		Cold-ish wobble + wetness	Medium-High		Room-temp if cold is pleasant rather than punitive.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	50	Sensory Wrongness	Coat fingertips lightly with syrup and wait before washing		Sticky residue + delayed resolution	High		Small amount; keep away from electronics/fabrics.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	51	Sensory Wrongness	Touch lotion, then wait before wiping hands		Persistent residue	Medium-High		Use tolerated lotion; short duration.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	52	Sensory Wrongness	Wear one slightly damp sock briefly		Wet fabric + asymmetry	Very High		Clean water, short duration, seated/indoors.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	53	Sensory Wrongness	Place a tiny harmless crumb under one thigh while seated		Irregular tactile signal	Medium-High		Soft food crumb only; no sharp debris.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	54	Sensory Wrongness	Sit on a deliberately wrinkled towel		Persistent uneven texture	Medium		No pressure points or sharp folds.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	55	Sensory Wrongness	Wear a shirt with one harmless fabric fold left unfixed		Persistent clothing wrongness	Medium		No seam pressure that causes pain.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	56	Sensory Wrongness	Touch microfiber with dry hands		Catching/dry tactile sensation	High if aversive		Stop if skin irritation occurs.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	57	Sensory Wrongness	Handle a dry cotton ball with slightly damp fingertips		Texture mismatch	Medium-High		Clean materials only.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	58	Sensory Wrongness	Hold a soft makeup sponge coated in plain water		Wet porous texture	Medium		No chemicals.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	59	Sensory Wrongness	Squish a sealed gel stress toy slowly		Yielding texture + anticipation	Maybe		Only if this is actually aversive; otherwise it's just sensory play.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	60	Sensory Wrongness	Press fingertips into cooled oatmeal in a bowl		Sticky/mushy texture	High		Fresh/cooled; wash afterward.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	61	Sensory Wrongness	Handle a peeled tomato or similarly slippery food		Slippery skinless texture	High		Food-safe, contained surface.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	62	Forced Slowness	Write five lines extremely slowly and neatly		Pacing frustration	High		Use a short set; no hand strain.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	63	Forced Slowness	Wait 20 seconds between each step of a simple task		Interrupts natural momentum	High		Keep total duration modest.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	64	Forced Slowness	Move one object at a time when several could be carried		Inefficiency + pacing	High		Use light objects.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	65	Forced Slowness	Fold laundry one item at a time with a pause between items		Deliberate inefficiency	High		Small batch only.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	66	Forced Slowness	Answer a question only after a ten-second pause		Blocks instant external processing	Medium-High		Not during emotionally important conflict.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	67	Forced Slowness	Speak at intentionally half-normal speed for one minute		Speech pacing constraint	Medium		Keep it playful, not during distress.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	68	Forced Slowness	Walk slowly across the room under direction		Motor pacing restriction	Medium		Clear floor, no balance risk.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	69	Forced Slowness	Complete a tiny cleanup task using only one hand		Efficiency restriction	High		No knives, heat, breakables, or hazardous tasks.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	70	Forced Slowness	Sort ten items one-by-one with hands returning to lap between each		Forced reset between actions	High		Safe seated task.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	71	Forced Slowness	Read a short paragraph aloud with deliberate pauses after each sentence		Pacing + control	Medium		No humiliating content.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	72	Forced Slowness	Wait for explicit 'next' before continuing a harmless sequence		Externally controlled pacing	High		Set a max total time.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	73	Forced Slowness	Open a snack/package very slowly under instruction		Delayed gratification + pacing	Medium		Not when actually hungry/needs food.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	74	Forced Slowness	Type a short sentence with a pause after every word		Cognitive pacing frustration	High		Short phrase only.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	75	Forced Slowness	Brush hair with one stroke, pause, repeat		Interrupts soothing rhythm	Maybe		Only if it is aversive; avoid tangles.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	76	Forced Slowness	Put away five objects with a countdown before each		Anticipation + inefficiency	High		Small number.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	77	Forced Slowness	Complete a task without multitasking		Denial of concurrency	High		Short, harmless task.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	78	Forced Slowness	Sit for sixty seconds after finishing before you're allowed to mark it done		Delayed closure	High		Known timer.	
Nontraditional 100	jackie_nontraditional_punishment_100.csv	79	Forced Slowness	Perform a familiar routine in deliberately separated micro-steps		Breaks automatic flow	High		Don't disrupt medical/hygiene needs.	
