Source Sheet	Source File	Source Row	Category	Reward	Why It Might Work	Suggested Tier (1-3)	Notes
Rewards 100	jackie_reward_idea_bank_100.csv	35	Focused Attention / Connection	Mini living-room date	novelty without leaving home	2	Taylor plans setup.
Rewards 100	jackie_reward_idea_bank_100.csv	36	Focused Attention / Connection	Puzzle together	shared task + proximity	2	Cooperative rather than competitive if preferred.
Rewards 100	jackie_reward_idea_bank_100.csv	37	Surrender / No Decisions	Taylor chooses dinner and handles ordering	removes decision burden	2	Food remains supportive, never punitive.
Rewards 100	jackie_reward_idea_bank_100.csv	38	Surrender / No Decisions	Taylor plans the whole evening	Jackie gets to surrender logistics	3	Within pre-agreed preferences.
Rewards 100	jackie_reward_idea_bank_100.csv	39	Surrender / No Decisions	No-decisions token	Taylor handles harmless choices for a set window	2	Jackie can override genuine needs.
Rewards 100	jackie_reward_idea_bank_100.csv	40	Surrender / No Decisions	Taylor chooses movie + snack + cuddle setup	complete low-stakes surrender	2	One bundled reward.
Rewards 100	jackie_reward_idea_bank_100.csv	41	Surrender / No Decisions	Taylor plans a surprise mini-date	being planned for + novelty	3	Budget/location constraints agreed.
Rewards 100	jackie_reward_idea_bank_100.csv	42	Surrender / No Decisions	Taylor picks the game	letting go of choice	1-2	From mutually liked options.
Rewards 100	jackie_reward_idea_bank_100.csv	43	Surrender / No Decisions	Taylor chooses Jackie's comfy outfit	care + surrender	1-2	From pre-approved comfy clothes.
Rewards 100	jackie_reward_idea_bank_100.csv	44	Surrender / No Decisions	Taylor chooses the route/stop on a casual drive	zero navigation decisions	2	Safety/navigation overrides.
Rewards 100	jackie_reward_idea_bank_100.csv	45	Surrender / No Decisions	Taylor handles one annoying household decision	relief from cognitive load	2	Not a major financial/legal decision.
Rewards 100	jackie_reward_idea_bank_100.csv	46	Surrender / No Decisions	Taylor selects a reward from the approved menu	surprise + surrendered choice	2	All menu items are yeses.
Rewards 100	jackie_reward_idea_bank_100.csv	47	Surrender / No Decisions	Mystery reward envelope	anticipation + no need to choose	2-3	Pre-approved pool only.
Rewards 100	jackie_reward_idea_bank_100.csv	48	Surrender / No Decisions	Taylor chooses which hobby Jackie does tonight	removes choice paralysis	1-2	Only among things Jackie wants.
Rewards 100	jackie_reward_idea_bank_100.csv	49	Surrender / No Decisions	Taylor chooses a tiny treat for Jackie	being known + surprise	1	Budget-capped.
Rewards 100	jackie_reward_idea_bank_100.csv	50	Surrender / No Decisions	Taylor makes the plan and only tells Jackie what she needs to know	trust + reduced planning	3	No surprise involving hard limits.
Rewards 100	jackie_reward_idea_bank_100.csv	51	Surrender / No Decisions	One-hour 'Daddy decides the harmless stuff' window	D/s recognition + mental rest	3	Never includes essentials, finances, work, or health decisions.
Rewards 100	jackie_reward_idea_bank_100.csv	52	Treats / Outings / Experiences	Something sweet	tiny dopamine	1	Already confirmed reward.
Rewards 100	jackie_reward_idea_bank_100.csv	53	Treats / Outings / Experiences	Fast food night	indulgence + convenience	2	Already confirmed reward.
Rewards 100	jackie_reward_idea_bank_100.csv	54	Treats / Outings / Experiences	Window-shopping trip with drinks	wandering + connection + novelty	3	Already confirmed reward.
Rewards 100	jackie_reward_idea_bank_100.csv	55	Treats / Outings / Experiences	Bookstore wander	curiosity + outing	2	No purchase required.
Rewards 100	jackie_reward_idea_bank_100.csv	56	Treats / Outings / Experiences	Target wander with drinks	low-stakes adventure	2	Classic browse date.
Rewards 100	jackie_reward_idea_bank_100.csv	57	Treats / Outings / Experiences	Coffee shop date	out-of-house connection	2	Short and easy.
Rewards 100	jackie_reward_idea_bank_100.csv	58	Treats / Outings / Experiences	Dessert run	tiny spontaneous outing	1-2	Food is reward only, never withheld as punishment.
Rewards 100	jackie_reward_idea_bank_100.csv	59	Treats / Outings / Experiences	Drive with music and no destination	novelty + togetherness	2	Taylor can plan route.
Rewards 100	jackie_reward_idea_bank_100.csv	60	Treats / Outings / Experiences	Pick one tiny item under a set budget	choice + treat	2	Could be cosmetic, hobby, etc.
Rewards 100	jackie_reward_idea_bank_100.csv	61	Treats / Outings / Experiences	Thrift-store browse	treasure-hunt novelty	2	Purchase optional.
Rewards 100	jackie_reward_idea_bank_100.csv	62	Treats / Outings / Experiences	Horse-related outing/content splurge	special-interest indulgence	3	Could be tack shop browse, event, digital purchase, etc.
Rewards 100	jackie_reward_idea_bank_100.csv	63	Treats / Outings / Experiences	New game / DLC budget token	hobby indulgence	3	Pre-agreed budget.
Rewards 100	jackie_reward_idea_bank_100.csv	64	Treats / Outings / Experiences	Craft/hobby store wander	idea stimulation + outing	2	Purchase optional.
Rewards 100	jackie_reward_idea_bank_100.csv	65	Treats / Outings / Experiences	Favorite takeout picnic at home	comfort + novelty	2	Floor blanket / living room counts.
Rewards 100	jackie_reward_idea_bank_100.csv	66	Treats / Outings / Experiences	Mystery tiny-date card	surprise experience	2-3	Draw from pre-approved options.
Rewards 100	jackie_reward_idea_bank_100.csv	67	Praise / Recognition / D/s Ritual	Specific 'good girl' praise	D/s recognition + being seen	1-2	Tie it to the actual behavior/effort.
Rewards 100	jackie_reward_idea_bank_100.csv	68	Praise / Recognition / D/s Ritual	Taylor tells Jackie three things he appreciated	specific affirmation	2	Concrete > generic.
Rewards 100	jackie_reward_idea_bank_100.csv	69	Praise / Recognition / D/s Ritual	Written praise note	something Jackie can reread	2	Short is fine.
Rewards 100	jackie_reward_idea_bank_100.csv	70	Praise / Recognition / D/s Ritual	Voice-note praise	Taylor's voice + replayability	2	Can be tiny.
Rewards 100	jackie_reward_idea_bank_100.csv	71	Praise / Recognition / D/s Ritual	Formal reward acknowledgement	ritualized 'you earned this' moment	2	Distinct from baseline affection.
Rewards 100	jackie_reward_idea_bank_100.csv	72	Praise / Recognition / D/s Ritual	Jackpot surprise for consistency	unexpected recognition	3	Not tied to exact exchange rate.
Rewards 100	jackie_reward_idea_bank_100.csv	73	Praise / Recognition / D/s Ritual	Streak celebration	progress acknowledgment	2	Celebrate consistency rather than perfection.
Rewards 100	jackie_reward_idea_bank_100.csv	74	Praise / Recognition / D/s Ritual	Taylor chooses a special affectionate title for the evening	D/s/playful recognition	1	Within existing dynamic.
Rewards 100	jackie_reward_idea_bank_100.csv	75	Praise / Recognition / D/s Ritual	Collar/ritual-item moment if desired	symbolic recognition + connection	2-3	Only if already meaningful/consensual.
Rewards 100	jackie_reward_idea_bank_100.csv	76	Praise / Recognition / D/s Ritual	Praise while brushing hair	care + verbal reinforcement	2	Two reward channels together.
Rewards 100	jackie_reward_idea_bank_100.csv	77	Praise / Recognition / D/s Ritual	Praise during massage	attention + care + recognition	2	Keep natural, not scripted unless desired.
Rewards 100	jackie_reward_idea_bank_100.csv	78	Praise / Recognition / D/s Ritual	Taylor summarizes what Jackie did well this week	meta-recognition	3	Useful for larger milestones.
Rewards 100	jackie_reward_idea_bank_100.csv	79	Praise / Recognition / D/s Ritual	Tiny certificate / silly award	playful accomplishment ritual	1-2	Can be intentionally ridiculous.
Rewards 100	jackie_reward_idea_bank_100.csv	80	Praise / Recognition / D/s Ritual	Gold-star / sticker token	visible progress marker	1	Cute low-stakes reinforcement.
Rewards 100	jackie_reward_idea_bank_100.csv	81	Praise / Recognition / D/s Ritual	Bankable 'tell me why you're proud of me' token	requested focused affirmation	2	Redeem when wanted.
Rewards 100	jackie_reward_idea_bank_100.csv	82	Sensory Satisfaction / Completion	Perfectly even massage on both sides	symmetry + sensory completion	2	Mirror of asymmetry punishments.
Rewards 100	jackie_reward_idea_bank_100.csv	83	Sensory Satisfaction / Completion	Both socks freshly changed and perfectly smooth	sensory 'rightness'	1	Tiny but tailored.
Rewards 100	jackie_reward_idea_bank_100.csv	84	Sensory Satisfaction / Completion	Hair brushed evenly until it feels right	symmetry + care	1-2	Stop before scalp sensitivity.
Rewards 100	jackie_reward_idea_bank_100.csv	85	Sensory Satisfaction / Completion	Fresh clean pajamas + fresh bedding	whole-body sensory reset	2	Strong comfort reward.
Rewards 100	jackie_reward_idea_bank_100.csv	86	Sensory Satisfaction / Completion	Blanket arranged exactly right	sensory resolution	1	Taylor does the arranging.
Rewards 100	jackie_reward_idea_bank_100.csv	87	Sensory Satisfaction / Completion	Room lights / temperature / blankets set to ideal comfort	environmental optimization	2	Jackie gets zero setup burden.
Rewards 100	jackie_reward_idea_bank_100.csv	88	Sensory Satisfaction / Completion	Perfectly organized snack/drink station	order + indulgence	1-2	Reward is setup and care.
Rewards 100	jackie_reward_idea_bank_100.csv	89	Sensory Satisfaction / Completion	Both feet massaged equally	symmetry + touch	2	Completion satisfaction.
Rewards 100	jackie_reward_idea_bank_100.csv	90	Sensory Satisfaction / Completion	Warm bath then immediate cozy wrap-up	sensory transition + care	2	Comfort-focused.
Rewards 100	jackie_reward_idea_bank_100.csv	91	Sensory Satisfaction / Completion	Taylor fixes one annoying sensory/environmental issue Jackie has been tolerating	resolution of persistent friction	2	Small practical comfort fix.
Rewards 100	jackie_reward_idea_bank_100.csv	92	Autonomy / Hobby / Special	Guilt-free hobby block	permission to disappear into interest	2	No chores attached.
Rewards 100	jackie_reward_idea_bank_100.csv	93	Autonomy / Hobby / Special	Uninterrupted laptop/project gremlin hour	deep-focus freedom	2	Taylor handles interruptions where practical.
Rewards 100	jackie_reward_idea_bank_100.csv	94	Autonomy / Hobby / Special	Jackie chooses the whole night	agency as reward	3	Food/activity/movie within practical limits.
Rewards 100	jackie_reward_idea_bank_100.csv	95	Autonomy / Hobby / Special	Skip one low-value chore	responsibility relief	2	Never essential pet/health/safety tasks.
Rewards 100	jackie_reward_idea_bank_100.csv	96	Autonomy / Hobby / Special	Taylor takes over one small routine task	being cared for through labor relief	2	One-off, bounded.
Rewards 100	jackie_reward_idea_bank_100.csv	97	Autonomy / Hobby / Special	Sleep-in morning	rest + responsibility relief	3	Only when schedule allows.
Rewards 100	jackie_reward_idea_bank_100.csv	98	Autonomy / Hobby / Special	Surprise hour with nothing expected from Jackie	freedom from productivity	2-3	No 'you should be relaxing' pressure.
Rewards 100	jackie_reward_idea_bank_100.csv	99	Autonomy / Hobby / Special	Create something together	shared novelty + collaboration	2	Could be cooking, craft, game build, etc.
Rewards 100	jackie_reward_idea_bank_100.csv	100	Autonomy / Hobby / Special	Jackie teaches Taylor something she loves	competence + focused interest	2	Taylor actively participates.
Rewards 100	jackie_reward_idea_bank_100.csv	101	Autonomy / Hobby / Special	Wild-card 'Taylor knows me' reward	Taylor invents something from everything he knows Jackie enjoys	3	Must stay inside known preferences/limits.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	2		Mystery drink delivery	Taylor brings a drink he picked because he knows Jackie will like it	1	High intentionality; low effort.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	3		Tiny surprise object	A small $3–$10 thing Taylor saw and thought 'Jackie'	1	Thoughtfulness > price.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	4		Pick-a-number reward	Jackie chooses a number mapped to a hidden reward	1-2	Use only pre-approved rewards.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	5		Tiny treasure hunt	A few clues around the house leading to a treat, note, or activity	2	Keep playful and short.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	6		I-planned-this-for-you envelope	Taylor prepares a surprise plan from approved options	2-3	Can be bath, game, outing, massage, etc.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	7		Ridiculous impulse purchase token	One silly non-practical purchase within a set budget	2	Budget-capped.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	8		Aesthetic snack plate	Favorite snacks arranged nicely instead of just handed over	1-2	Reward is care + presentation.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	9		Taylor chooses a horse topic and asks Jackie to teach him	Special-interest attention + being known	2	Full attention and follow-up questions.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	10		Random compliment ambush	Taylor gives a specific compliment at an unexpected time	1	Specific > generic.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	11		Written 'why I love you' card	Short note Jackie can keep and reread	2	High emotional replay value.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	12		Affectionate voice memo	Taylor records a short loving/proud/flirty message	2	Replayable reward.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	13		Come-here token	Redeem for a short intentional cuddle when practical	1-2	Not an entitlement to interrupt urgent needs.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	14		I-pick-where-I-sit token	Jackie chooses the cuddle/lap configuration	1	Very tailored.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	15		Special cuddle-position reward	Jackie gets exactly the cuddle setup she wants	1-2	Focus on intentionality.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	16		Taylor builds the nest	Blankets, pillows, charger, drink, snack all prepared	2	Zero setup burden.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	17		No-getting-up privilege	Once settled, Taylor fetches small forgotten things	2	Reasonable items only.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	18		Bath concierge	Taylor runs bath and handles towel/drink/setup	2-3	Pampering + no decisions.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	19		Hair-play block	Dedicated brushing/scalp-scratch/styling time	1-2	Pure care.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	20		You-are-done-for-the-day ritual	Taylor explicitly declares no more productivity required	2	Strong permission/closure reward.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	21		One task disappears	Taylor fully takes one minor task off Jackie's plate	2	Non-essential, one-off.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	22		Chore swap coupon	Swap a disliked chore for one Jackie minds less	1-2	Keep responsibilities balanced overall.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	23		Choose-the-bedtime-vibe	Jackie chooses movie/music/cuddle/game/quiet	1-2	Low-stakes agency reward.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	24		Full TV control night	Jackie picks what is watched without negotiation	1	Playful privilege.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	25		Mystery takeout from favorites	Taylor chooses from already-liked places/items	2	No food surprises outside preferences.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	26		Drive-thru surprise	Taylor drives somewhere and Jackie finds out on arrival	2	Pre-approved category/location range.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	27		Late-night little drive	Short music-filled drive together	2	Simple mini-adventure.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	28		Let's-wander reward	Bookstore/Target/mall/etc. with no objective	2	No purchase required.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	29		Tiny adventure	Visit somewhere new within ~20 minutes	2-3	Low effort novelty.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	30		Random dessert mission	Go out specifically for dessert	1-2	Spontaneous outing.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	31		Buy-one-stupid-little-thing rule	Purchase one amusing non-practical item	1-2	Tiny budget.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	32		New-game night	Try a cheap/free co-op game together	2	Novelty + connection.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	33		Replay-a-favorite night	Revisit a comfort game/movie together	1-2	Familiarity as reward.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	34		No-complaining board-game pick	Jackie picks the game and Taylor commits	2	Playful framing.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	35		Yes-to-the-hobby pass	Guilt-free block for current obsession	2	No chore debt attached.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	36		Project audience	Taylor watches a demo and asks real questions	2	Focused attention.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	37		Make-something-together reward	Craft, recipe, LEGO, home project, etc.	2	Shared creation.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	38		Taylor commissions Jackie	He invents a silly intellectual challenge for her	2	Should be fun, not work-like.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	39		Puzzle/problem reward	Taylor finds something interesting for Jackie to solve	1-2	Competence as pleasure.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	40		Curiosity roulette	Taylor asks a weird question and you rabbit-hole together	1-2	Pure shared curiosity.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	41		Random documentary/topic night	Learn about something together	2	Low-pressure exploration.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	42		Convince-me game	Jackie gets five minutes to persuade Taylor about something inconsequential	1-2	Playful rhetoric.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	43		Mini debate	Taylor deliberately takes the opposite side on a silly topic	1-2	Keep non-sensitive.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	44		Celebratory mini-presentation	Jackie teaches Taylor something cool she learned	2	Praise, not evaluation.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	45		Achievement ceremony	Overly formal recognition for something mundane	1-2	Deliberately ridiculous.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	46		Visible gold-star token	Sticker/star marker for a win	1	Cute tangible reinforcement.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	47		Taylor invents the next reward	He creates something new rather than using the menu	2	Must stay within known preferences.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	48		Double-reward coin flip	Chance to turn one reward into two	1-2	Pure gamification.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	49		Mystery multiplier	A normal success is randomly worth extra	1-2	Avoid making core habits feel worthless without multiplier.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	50		Secret objective	Taylor privately picks a behavior to notice and surprises Jackie if it happens naturally	2	Should reward positive behavior, not trap/failure.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	51		Caught-being-good reward	Taylor spontaneously rewards something he genuinely noticed	1-3	Excellent non-transactional recognition.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	52		Consistency jackpot	Surprise reward after sustained effort	3	Not a rigid streak that punishes one miss.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	53		Reward draft	Taylor picks three rewards; Jackie chooses one	1-3	Choice within structure.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	54		Reverse reward draft	Jackie nominates three; Taylor decides which she gets	1-3	Surrender + anticipation.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	55		Blind envelope draw	Random reward from an approved envelope pool	1-3	Only yes-list items.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	56		Bank-or-spend choice	Take a small reward now or bank toward a bigger one	1-3	Avoid creating stressful debt mechanics.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	57		Upgrade token	Turn a Tier 1 reward into a deluxe version	2	Simple gamification.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	58		Combo reward	Bundle two or three small rewards	2-3	Good for milestones.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	59		Wildcard reward day	Taylor spontaneously decides what deserves recognition	2-3	Keeps system alive and relational.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	60		I-know-you challenge	Taylor predicts which reward will make Jackie happiest	2	He gets bragging rights if correct.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	61		Recreate-an-old-date reward	Repeat a favorite memory/date vibe	3	Nostalgia + connection.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	62		Old-photos night	Look through photos together	1-2	Memory-sharing.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	63		Favorite-memory story	Taylor chooses one memory and says why it matters	2	Specific emotional attention.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	64		Ridiculous couple playlist	Build a shared playlist together	1-2	Collaborative + silly.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	65		New shared ritual	Create a little recurring ritual after a bigger milestone	3	Should stay enjoyable, not obligation.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	66		Hidden note	Taylor hides an affectionate note for Jackie to find later	1-2	Delayed surprise.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	67		Morning appreciation message	A specific thing Taylor appreciates sent in the morning	1	Tiny, emotionally meaningful.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	68		Extra-long hello/goodbye cuddle	Exaggerated reunion cuddle despite WFH life	1	Comedically appropriate.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	69		Come-sit-with-me summons	Taylor claims Jackie for intentional cuddles	1-2	Reward because she gets chosen.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	70		Spoiled-passenger hour	Taylor handles navigation, ordering, timing, logistics	2-3	Jackie just comes along.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	71		Sensory perfection pass	Taylor fixes socks/blanket/hair/lighting until everything feels right	2	Mirror of sensory-wrongness punishments.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	72		Fresh favorite blanket/pajamas waiting	Clean comfort items ready before Jackie asks	1-2	Anticipatory care.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	73		Favorite-scent environment setup	Room prepared with a preferred scent/vibe	1-2	Use tolerated scents only.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	74		Quiet-room pressure cuddle	Low-stimulation room + pressure/cuddle setup	2	Comfort-focused.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	75		Mood-matched music	Taylor makes/picks music for Jackie's current vibe	1	Thoughtful personalization.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	76		Make-Jackie-laugh challenge	Taylor's job is simply to entertain her	1-2	Silly, relational reward.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	77		Permission-to-be-annoying window	Jackie gets a short playful pestering window	1	Agree boundaries in advance.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	78		Dramatic-complaint pass	Taylor enthusiastically validates a low-stakes injustice	1	For silly complaints, not serious issues.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	79		Tell-me-I'm-pretty coupon	Redeem for explicit appearance praise	1	Simple, direct.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	80		Tell-me-I'm-smart-and-be-specific coupon	Specific competence/intelligence praise	2	Very Jackie-coded.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	81		Tell-me-what-you-noticed reward	Taylor names a specific effort/behavior he saw	2	Attunement as reward.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	82		Ask-me-one-real-question reward	Taylor asks something he genuinely wants to know about Jackie	1-2	Curiosity/intimacy.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	83		Teach-me-something-about-you reward	Mutual little discovery conversation	2	Connection through novelty.
Rewards Bonus	jackie_reward_idea_bank_bonus.csv	84		Taylor-knows-me wildcard	Taylor invents a reward based entirely on what he knows Jackie enjoys	3	Inside established preferences/limits.
