Kink	Category	Description	Risk Level	Notes	Research Source(s)	Source URL(s)
Bondage stool	Bondage & Restraint	Stool-style furniture designed for BDSM positioning or restraint.	Moderate	Stability and positional comfort matter.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Bondage table	Bondage & Restraint	Table-style furniture designed for restraint, positioning, or scene access.	Moderate	Stability, anchor integrity, and body positioning matter.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Bondage wheel	Bondage & Restraint	Rotating or wheel-shaped bondage furniture used to restrain and reposition a person.	High	Rotation, falls, restraints, and structural integrity add risk.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Grope box	Bondage & Restraint	Enclosure-style furniture that limits visibility or movement while allowing controlled access to the body.	Moderate-High	Consent scope, ventilation, panic response, and exit access matter.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Gynecological restraint chair / table	Medical & Clinical Kinks	Clinical-style chair or table used as positioning or restraint furniture in adult medical-roleplay scenes.	Moderate-High	Positional strain, restraint safety, and explicit adult roleplay boundaries.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Bondage hoist	Bondage & Restraint	Hoist or lifting apparatus used to support or reposition a restrained person.	High	Load rating, rigging, falls, and suspension hazards make this advanced gear.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Inversion-table bondage	Bondage & Restraint	Bondage or restraint using an inversion-table style position.	High	Inversion can create circulatory, pressure, fall, and escape risks.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Queening stool	Sexual Activities & Techniques	Specialized stool that supports face-sitting or queening positioning.	Moderate	Breathing, weight distribution, and positional communication matter.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list; Fetish.com — Sex toys	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture; https://www.fetish.com/list-of-kinks-and-fetishes/sex-toys/
Bondage rack	Bondage & Restraint	Rack-style furniture used for extended positioning or restraint.	High	Joint traction, circulation, and structural safety concerns.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list; KYNK 101 — Kynklopedia	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture; https://kynk101.com/kynklopedia
Sawhorse bondage	Bondage & Restraint	Using a sawhorse-style structure as support or restraint furniture.	Moderate-High	Stability, pressure points, and fall risk matter.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Smotherbox	Edge Play / High-Risk Specialty	Box-style furniture associated with face-sitting or smothering-themed positioning.	High	Airway restriction risk; edge-play item requiring explicit consent and monitoring.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Wooden horse	Edge Play / High-Risk Specialty	Narrow horse-style furniture used for painful straddling, positioning, or restraint.	High	Concentrated pressure on vulnerable anatomy creates significant injury risk.	Wikipedia — List of BDSM equipment; KYNK 101 — Kynklopedia	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://kynk101.com/kynklopedia
Massage-table bondage	Bondage & Restraint	Using a massage table as a stable platform or anchor for restraint and positioning.	Moderate	Table stability, attachment points, and body position matter.	FETDOM — BDSM furniture list	https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Ball stretcher / scrotal stretcher	Edge Play / High-Risk Specialty	Genital device that applies controlled downward tension to the scrotum.	High	Vulnerable tissue, circulation, and nerve injury concerns.	Wikipedia — List of BDSM equipment; Scribd — BDSM Checklist	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.scribd.com/document/430783246/BDSM-Checklist
Humbler restraint	Edge Play / High-Risk Specialty	Genital restraint device that links scrotal restraint with leg position to restrict movement.	High	High risk of genital, joint, and balance injury.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM equipment; Scribd — BDSM Checklist	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/; https://www.scribd.com/document/430783246/BDSM-Checklist
Anal hook	Edge Play / High-Risk Specialty	Hook-shaped insertable restraint or attachment device used in advanced bondage.	High	Internal injury, tissue damage, load, and hygiene concerns.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM equipment; Scribd — BDSM Checklist	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/; https://www.scribd.com/document/430783246/BDSM-Checklist
Vaginal hook	Edge Play / High-Risk Specialty	Hook-shaped insertable restraint or attachment device used in advanced bondage.	High	Internal injury, tissue damage, load, and hygiene concerns.	Wikipedia — List of BDSM equipment; Scribd — BDSM Checklist	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.scribd.com/document/430783246/BDSM-Checklist
Scrotum parachute	Edge Play / High-Risk Specialty	Scrotal device designed to attach weight or tension below the genitals.	High	Compression, circulation, and tissue injury risk.	Wikipedia — List of BDSM equipment; Scribd — BDSM Checklist	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.scribd.com/document/430783246/BDSM-Checklist
Urethral sounding / urethral play	Medical & Clinical Kinks	Adult kink involving stimulation of the urethra with purpose-made implements.	High	Infection and internal injury risks make this specialty medical-adjacent play.	Wikipedia — List of BDSM equipment; Scribd — BDSM Checklist; KYNK 101 — Kynklopedia	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.scribd.com/document/430783246/BDSM-Checklist; https://kynk101.com/kynklopedia
Breast bondage	Bondage & Restraint	Binding or restraining the breasts as a distinct bondage focus.	Moderate-High	Circulation, tissue pressure, and skin integrity matter.	Fetish.com — Body fetishes; KYNK 101 — Kynklopedia	https://www.fetish.com/list-of-kinks-and-fetishes/body-fetishes/; https://kynk101.com/kynklopedia
Speculum play	Medical & Clinical Kinks	Adult clinical or sensation play involving a speculum as medical-style equipment.	Moderate-High	Tissue injury and hygiene considerations; medical-roleplay context only.	Wikipedia — List of BDSM equipment; Scribd — BDSM Checklist	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.scribd.com/document/430783246/BDSM-Checklist
Enema play	Medical & Clinical Kinks	Adult kink or clinical-roleplay interest involving enemas.	Moderate-High	Fluid balance, irritation, hygiene, and medical contraindications can matter.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM; Scribd — BDSM Checklist; KYNK 101 — Kynklopedia	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm/; https://www.scribd.com/document/430783246/BDSM-Checklist; https://kynk101.com/kynklopedia
Catheter play	Medical & Clinical Kinks	Adult medical-roleplay or sensation interest involving urinary catheter equipment.	High	Sterility, infection, and internal injury risks make this advanced specialty play.	KYNK 101 — Kynklopedia	https://kynk101.com/kynklopedia
Cell popping / microbranding	Edge Play / High-Risk Specialty	Very small controlled burn or branding-style marks used as body-modification or pain play.	High	Burns, infection, scarring, and permanent-marking risks.	Scribd — BDSM Checklist; KYNK 101 — Kynklopedia	https://www.scribd.com/document/430783246/BDSM-Checklist; https://kynk101.com/kynklopedia
Suturing play	Medical & Clinical Kinks	Adult medical or body-modification play involving temporary suturing.	High	Skin penetration, infection, bleeding, and scarring risks.	KYNK 101 — Kynklopedia	https://kynk101.com/kynklopedia
Figging	Edge Play / High-Risk Specialty	Irritant-based pain play traditionally associated with ginger and intense localized sensation.	High	Chemical irritation and delicate-tissue injury risks; specialty edge play.	Fetish.com — BDSM; KYNK 101 — Kynklopedia	https://www.fetish.com/list-of-kinks-and-fetishes/bdsm/; https://kynk101.com/kynklopedia
Cock and ball torture (CBT)	Edge Play / High-Risk Specialty	Umbrella kink for consensual pain, pressure, restraint, or impact focused on penis and testicles.	High	Genital tissue is vulnerable; intensity and duration can cause serious injury.	Fetish.com — Hard BDSM; Scribd — BDSM Checklist; KYNK 101 — Kynklopedia	https://www.fetish.com/list-of-kinks-and-fetishes/hard-bdsm/; https://www.scribd.com/document/430783246/BDSM-Checklist; https://kynk101.com/kynklopedia
Castration-play fantasy	Edge Play / High-Risk Specialty	Consensual adult fantasy or simulated play themed around castration without actual castration.	High	Keep fantasy/simulation clearly separate from irreversible injury; psychologically and physically intense.	Fetish.com — Hard BDSM; KYNK 101 — Kynklopedia	https://www.fetish.com/list-of-kinks-and-fetishes/hard-bdsm/; https://kynk101.com/kynklopedia
Nipple weights	Pain & Sensation	Weights attached to nipple jewelry or clamps to add sustained pulling sensation.	Moderate-High	Tissue, circulation, and duration considerations.	Scribd — BDSM Checklist	https://www.scribd.com/document/430783246/BDSM-Checklist
Genital weights	Edge Play / High-Risk Specialty	Weights attached to genital restraints or jewelry to create sustained pulling sensation.	High	Vulnerable tissue, circulation, and load considerations.	Scribd — BDSM Checklist	https://www.scribd.com/document/430783246/BDSM-Checklist
Ball crusher	Edge Play / High-Risk Specialty	Device designed to apply controlled compression to the testicles.	High	High risk of tissue and vascular injury.	Fetish.com — BDSM equipment; Scribd — BDSM Checklist	https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/; https://www.scribd.com/document/430783246/BDSM-Checklist
Oculolinctus / eye-licking	Edge Play / High-Risk Specialty	Fetish or sexual interest involving licking the eye.	High	Eye infection and corneal injury risks.	KYNK 101 — Kynklopedia	https://kynk101.com/kynklopedia
Chemical sensation play	Edge Play / High-Risk Specialty	Sensation play involving a deliberately chosen chemical irritant or reactive substance.	High	Skin, mucosal, allergy, toxicity, and unpredictable-reaction risks.	KYNK 101 — Kynklopedia	https://kynk101.com/kynklopedia
Cilice play	Pain & Sensation	Pain play involving a spiked or abrasive band-like device worn against the body.	High	Pressure, puncture, circulation, and skin-injury risks.	KYNK 101 — Kynklopedia	https://kynk101.com/kynklopedia
Cutting / bloodletting play	Edge Play / High-Risk Specialty	Consensual adult edge play in which cutting or controlled bleeding is part of the scene.	High	Bleeding, infection, scarring, and accidental severe injury risks.	Scribd — BDSM Checklist; KYNK 101 — Kynklopedia	https://www.scribd.com/document/430783246/BDSM-Checklist; https://kynk101.com/kynklopedia
Bastinado	Impact Play	Impact play focused on the soles of the feet.	Moderate-High	Foot anatomy, mobility afterward, and concentrated impact risk matter.	Scribd — BDSM Checklist; KYNK 101 — Kynklopedia	https://www.scribd.com/document/430783246/BDSM-Checklist; https://kynk101.com/kynklopedia
Florentine flogging	Impact Play	Two-handed flogging technique using mirrored or figure-eight patterns.	Moderate-High	Advanced coordination and impact-placement technique.	KYNK 101 — Kynklopedia	https://kynk101.com/kynklopedia
Single-tail whip	Impact Play	Impact play using a single-tail whip rather than a multi-tailed flogger.	High	Highly concentrated force and significant marking/injury potential.	Playful Magazine — BDSM pain-play toys; Scribd — BDSM Checklist	https://www.playfulmag.com/post/33-toys-and-devices-for-bdsm-pain-play; https://www.scribd.com/document/430783246/BDSM-Checklist
Dragon-tail whip	Impact Play	Flat or tapered whip style known for sharp, concentrated impact.	High	Concentrated sting and skin-injury potential.	Early to Bed — Impact toys; Agreeable Agony — Impact toys; Scribd — BDSM Checklist; KYNK 101 — Kynklopedia	https://www.early2bed.com/kink-bdsm/impact/; https://www.agreeableagony.com/collections/impact-toys; https://www.scribd.com/document/430783246/BDSM-Checklist; https://kynk101.com/kynklopedia
Cat-o'-nine-tails	Impact Play	Multi-tailed whip or flogger style with nine primary tails.	High	Multiple narrow tails can create concentrated sting and marking.	Agreeable Agony — Impact toys; Scribd — BDSM Checklist; KYNK 101 — Kynklopedia	https://www.agreeableagony.com/collections/impact-toys; https://www.scribd.com/document/430783246/BDSM-Checklist; https://kynk101.com/kynklopedia
Sjambok	Impact Play	Dense flexible whip-like implement associated with strong, concentrated impact.	High	High-force implement with substantial bruising and injury potential.	KYNK 101 — Kynklopedia	https://kynk101.com/kynklopedia
Impact jack / thumper	Impact Play	Compact heavy impact implement designed for deep, thuddy sensation.	Moderate-High	Dense tools can transfer substantial force despite short travel.	Agreeable Agony — Impact toys	https://www.agreeableagony.com/collections/impact-toys
Face slapping	Impact Play	Consensual slapping focused specifically on the face.	High	Head, ear, jaw, eye, and neck injury risks make facial impact a specialty activity.	Scribd — BDSM Checklist	https://www.scribd.com/document/430783246/BDSM-Checklist
Post-orgasm torture	Orgasm & Arousal Control	Continued stimulation or pain play after orgasm when sensitivity is elevated.	Moderate-High	Sensitivity can change abruptly; ongoing consent and intensity control matter.	Fetish.com — BDSM	https://www.fetish.com/list-of-kinks-and-fetishes/bdsm/
Wedgie play	Pain & Sensation	Clothing-based pulling or pressure used for discomfort, embarrassment, or sensation.	Moderate	Skin, genital pressure, and clothing-related injury considerations.	Fetish.com — BDSM	https://www.fetish.com/list-of-kinks-and-fetishes/bdsm/
Electric pinwheel	Electrical & Specialty	Pinwheel-style sensation tool combined with electrical stimulation.	High	Electrical risks plus sharp-point contact; specialty equipment.	Playful Magazine — BDSM pain-play toys	https://www.playfulmag.com/post/33-toys-and-devices-for-bdsm-pain-play
Contact-zapper electro play	Electrical & Specialty	Point-contact electrical stimulation using zapper or cattle-prod-style devices.	High	Electrical injury and unpredictable current-path risks; distinct from TENS and violet-wand styles.	Fetish.com — BDSM equipment; KYNK 101 — Kynklopedia	https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/; https://kynk101.com/kynklopedia
Claw / rake sensation tools	Pain & Sensation	Handheld claw, rake, or spiked-glove tools used for scratching and concentrated skin sensation.	Moderate-High	Skin breaking and infection risk rise quickly with sharper tools.	Wikipedia — List of BDSM equipment; Playful Magazine — BDSM pain-play toys; Agreeable Agony — Impact toys	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.playfulmag.com/post/33-toys-and-devices-for-bdsm-pain-play; https://www.agreeableagony.com/collections/impact-toys
Masturbation sleeve	Sexual Activities & Techniques	Sleeve-style sex toy used for external genital stimulation.	Low-Moderate	Material hygiene and fit considerations.	Fetish.com — Sex toys	https://www.fetish.com/list-of-kinks-and-fetishes/sex-toys/
Prostate massager	Sexual Activities & Techniques	Insertable toy shaped to stimulate the prostate.	Moderate	Insertable-toy hygiene, size, and anatomy considerations.	Fetish.com — Sex toys	https://www.fetish.com/list-of-kinks-and-fetishes/sex-toys/
Prostate milking	Sexual Activities & Techniques	Manual or toy-assisted stimulation focused on the prostate and its associated sensations.	Moderate	Internal stimulation and individual health considerations.	Fetish.com — BDSM; KYNK 101 — Kynklopedia	https://www.fetish.com/list-of-kinks-and-fetishes/bdsm/; https://kynk101.com/kynklopedia
Clitoral pump	Sexual Activities & Techniques	Suction device used to increase localized clitoral or vulvar sensation.	Moderate	Pressure, bruising, tissue sensitivity, and duration matter.	Fetish.com — Sex toys	https://www.fetish.com/list-of-kinks-and-fetishes/sex-toys/
Ben Wa balls / vaginal balls	Sexual Activities & Techniques	Weighted or unweighted internal balls used for sensation or pelvic-floor-oriented sexual play.	Moderate	Insertable-toy hygiene and retention/removal considerations.	Fetish.com — Sex toys	https://www.fetish.com/list-of-kinks-and-fetishes/sex-toys/
Anal beads	Sexual Activities & Techniques	Series of connected beads used as an insertable anal toy.	Moderate	Insertable-toy hygiene, sizing, and safe retrieval design matter.	Fetish.com — Sex toys; Scribd — BDSM Checklist	https://www.fetish.com/list-of-kinks-and-fetishes/sex-toys/; https://www.scribd.com/document/430783246/BDSM-Checklist
Sex stool	Sexual Activities & Techniques	Supportive stool designed to enable or alter sexual positions.	Low-Moderate	Stability, weight rating, and positioning considerations.	Fetish.com — Sex toys	https://www.fetish.com/list-of-kinks-and-fetishes/sex-toys/
Sneeze fetish	Body-Part & Sensory Fetishes	Erotic interest in sneezing, hearing sneezes, or the bodily response of sneezing.	Low	Avoid deliberately provoking unsafe allergic or irritant reactions.	Fetish.com — Body fetishes	https://www.fetish.com/list-of-kinks-and-fetishes/body-fetishes/
Vein fetish	Body-Part & Sensory Fetishes	Erotic attraction to visible veins or vascular appearance.	Low	Primarily visual/tactile; invasive medical activity is a separate risk category.	Fetish.com — Body fetishes	https://www.fetish.com/list-of-kinks-and-fetishes/body-fetishes/
Nail fetish	Body-Part & Sensory Fetishes	Erotic attraction to fingernails, manicures, nail appearance, or nail-related touch.	Low	Can overlap scratching but is not inherently pain play.	Fetish.com — Body fetishes	https://www.fetish.com/list-of-kinks-and-fetishes/body-fetishes/
Burp fetish	Fluids, Excretions & Body Responses	Erotic interest in burping as a bodily sound or response.	Low	Bodily-response fetish.	Fetish.com — Body fetishes	https://www.fetish.com/list-of-kinks-and-fetishes/body-fetishes/
Eye fetish	Body-Part & Sensory Fetishes	Erotic attraction to eyes, eye appearance, or eye-focused attention.	Low	Distinct from eye-contact protocol; invasive eye play is separate/high risk.	Fetish.com — Body fetishes	https://www.fetish.com/list-of-kinks-and-fetishes/body-fetishes/
Fart fetish	Fluids, Excretions & Body Responses	Erotic interest in flatulence, including its sound or smell.	Low	Bodily-response fetish; consent around exposure still matters.	Fetish.com — Body fetishes	https://www.fetish.com/list-of-kinks-and-fetishes/body-fetishes/
Lip fetish	Body-Part & Sensory Fetishes	Erotic attraction focused on lips, their appearance, or lip-centered touch.	Low	Body-part fetish.	Fetish.com — Body fetishes	https://www.fetish.com/list-of-kinks-and-fetishes/body-fetishes/
Smoking fetish	Body-Part & Sensory Fetishes	Erotic interest in the visual, ritual, smell, or aesthetic of smoking.	Moderate-High	Smoke exposure and fire/health risks remain real even when the interest is primarily aesthetic.	Fetish.com — Body fetishes; Scribd — BDSM Checklist	https://www.fetish.com/list-of-kinks-and-fetishes/body-fetishes/; https://www.scribd.com/document/430783246/BDSM-Checklist
Labia fetish	Body-Part & Sensory Fetishes	Erotic attraction focused on labial anatomy or appearance.	Low	Body-part fetish; avoid body-shaming framing.	Fetish.com — Body fetishes	https://www.fetish.com/list-of-kinks-and-fetishes/body-fetishes/
Accent fetish	Body-Part & Sensory Fetishes	Erotic attraction to particular accents, speech patterns, or vocal qualities.	Low	Aural preference distinct from generic voice fetish.	Fetish.com — Unusual sexual preferences	https://www.fetish.com/list-of-kinks-and-fetishes/unusual-sexual-preferences/
Velvet fetish	Clothing, Gear & Fetishwear	Erotic interest in velvet's look, texture, clothing, or tactile feel.	Low	Material/texture fetish.	Fetish.com — Unusual sexual preferences	https://www.fetish.com/list-of-kinks-and-fetishes/unusual-sexual-preferences/
Sock fetish	Clothing, Gear & Fetishwear	Erotic interest in socks, including their appearance, texture, wear, or scent.	Low	Clothing/object fetish.	Fetish.com — Fetish clothing	https://www.fetish.com/list-of-kinks-and-fetishes/fetish-clothing/
Leggings fetish	Clothing, Gear & Fetishwear	Erotic interest in leggings as clothing, silhouette, or material.	Low	Clothing fetish.	Fetish.com — Fetish clothing	https://www.fetish.com/list-of-kinks-and-fetishes/fetish-clothing/
Belt fetish	Clothing, Gear & Fetishwear	Erotic interest in belts as clothing, symbols, sounds, restraint gear, or impact implements.	Low-Moderate	Separate from strapping/impact if the primary interest is the belt itself.	Fetish.com — Fetish clothing	https://www.fetish.com/list-of-kinks-and-fetishes/fetish-clothing/
Steampunk fetish / cosplay	Clothing, Gear & Fetishwear	Erotic interest in steampunk aesthetics, clothing, roleplay, or themed gear.	Low	Fantasy/aesthetic kink rather than a standardized BDSM activity.	Fetish.com — Fetish clothing	https://www.fetish.com/list-of-kinks-and-fetishes/fetish-clothing/
Balloon fetish	Body-Part & Sensory Fetishes	Erotic interest in balloons, including inflation, texture, pressure, or popping themes.	Low-Moderate	Popping can involve sudden sound and latex sensitivity.	Fetish.com — Unusual sexual preferences	https://www.fetish.com/list-of-kinks-and-fetishes/unusual-sexual-preferences/
Dendrophilia	Body-Part & Sensory Fetishes	Erotic attraction or fantasy focused on trees or tree imagery.	Low	Keep real-world activity safe, legal, and non-damaging.	Fetish.com — Unusual sexual preferences	https://www.fetish.com/list-of-kinks-and-fetishes/unusual-sexual-preferences/
Keraunophilia	Body-Part & Sensory Fetishes	Erotic interest in thunderstorms, thunder, lightning, or storm atmosphere.	Low-Moderate	Weather itself can be hazardous; the fetish is best represented as sensory/fantasy interest.	KYNK 101 — Kynklopedia	https://kynk101.com/kynklopedia
