Catalog ID	Category ID	Kink	Category	Description	Typical Role	Primary Mode	Intensity	Risk Level	Master Interest	Master Giving	Master Receiving	pet Interest	pet Giving	pet Receiving	Hard Limit?	Scene Use	Discussed?	Notes	Research Source(s)	Source URL(s)	Catalog Status
frogtie	bondage-restraint	Frogtie	Bondage & Restraint	Legs folded and restrained in a bent position.	Receiving	Physical/Psychological	Moderate-High	Moderate-High										Joint flexibility matters.			Original catalog
chair-bondage	bondage-restraint	Chair bondage	Bondage & Restraint	Restraining someone to or on a chair.	Receiving	Physical/Psychological	Moderate	Moderate										Stability and circulation matter.			Original catalog
bed-bondage	bondage-restraint	Bed bondage	Bondage & Restraint	Using the bed or bedframe as restraint anchor.	Receiving	Physical/Psychological	Moderate	Moderate										Anchor safety matters.			Original catalog
under-bed-restraint-system	bondage-restraint	Under-bed restraint system	Bondage & Restraint	Restraint straps routed under a mattress.	Receiving	Physical/Psychological	Moderate	Moderate										Check hardware and escape access.			Original catalog
bondage-mitts	bondage-restraint	Bondage mitts	Bondage & Restraint	Mitts that reduce hand/finger use.	Receiving	Physical/Psychological	Low-Moderate	Low-Moderate										Helplessness without tight wrist restriction.			Original catalog
armbinder	bondage-restraint	Armbinder	Bondage & Restraint	Device holding arms together behind the back.	Receiving	Physical/Psychological	High	High										Shoulder/nerve risk.			Original catalog
elbow-bondage	bondage-restraint	Elbow bondage	Bondage & Restraint	Restricting elbows together or toward each other.	Receiving	Physical/Psychological	High	High										High nerve/joint risk; advanced.			Original catalog
thumb-cuffs	bondage-restraint	Thumb cuffs	Bondage & Restraint	Small restraints placed around thumbs.	Receiving	Physical/Psychological	Moderate	Moderate										Nerve/circulation sensitivity.			Original catalog
collar-to-wrist-restraint	bondage-restraint	Collar-to-wrist restraint	Bondage & Restraint	Connecting collar and wrist restraints to limit reach or posture.	Receiving	Physical/Psychological	Moderate	Moderate										Avoid neck load.			Original catalog
posture-collar	bondage-restraint	Posture collar	Bondage & Restraint	Rigid or semi-rigid collar limiting head/neck movement.	Receiving	Physical/Psychological	High	High										Neck safety is critical.			Original catalog
stocks-pillory	bondage-restraint	Stocks / pillory	Bondage & Restraint	Head and/or limbs held in a frame-like restraint.	Receiving	Physical/Psychological	Moderate	Moderate										Position comfort and emergency release.			Original catalog
cage-confinement	bondage-restraint	Cage confinement	Bondage & Restraint	Temporary confinement in a cage-like space.	Receiving	Physical/Psychological	Moderate	Moderate										Psychological + positional considerations.			Original catalog
small-space-confinement	bondage-restraint	Small-space confinement	Bondage & Restraint	Consensual confinement in a small safe space.	Receiving	Physical/Psychological	Moderate	Moderate										Ventilation, panic, and exit access.			Original catalog
body-bag-bondage	bondage-restraint	Body bag bondage	Bondage & Restraint	Enclosure that restricts movement.	Receiving	Physical/Psychological	High	High										Heat, breathing, rapid-release concerns.			Original catalog
hand-spanking	impact-play	Hand spanking	Impact Play	Impact with the hand, usually on fleshy areas.	Both	Physical/Psychological	Low-Moderate	Low-Moderate										Intensity and placement matter.			Original catalog
paddling	impact-play	Paddling	Impact Play	Impact using a paddle.	Both	Physical/Psychological	Moderate	Moderate										Material and force change sensation.			Original catalog
flogging	impact-play	Flogging	Impact Play	Repeated impact using a multi-tailed flogger.	Both	Physical/Psychological	Moderate	Moderate										Technique/placement matter.			Original catalog
caning	impact-play	Caning	Impact Play	Impact using a cane or cane-like implement.	Both	Physical/Psychological	High	High										Can cause significant bruising/injury.			Original catalog
strapping	impact-play	Strapping	Impact Play	Impact with a strap or belt-like implement.	Both	Physical/Psychological	Moderate-High	Moderate-High										Edges and force matter.			Original catalog
crop-play	impact-play	Crop play	Impact Play	Impact with a riding crop.	Both	Physical/Psychological	Moderate-High	Moderate-High										Small striking surface concentrates force.			Original catalog
slapper-tawse-play	impact-play	Slapper / tawse play	Impact Play	Impact with flat leather implements.	Both	Physical/Psychological	Moderate	Moderate										Technique matters.			Original catalog
wooden-spoon-play	impact-play	Wooden spoon play	Impact Play	Impact with a wooden spoon.	Both	Physical/Psychological	Moderate	Moderate										Small hard surface can sting sharply.			Original catalog
hairbrush-spanking	impact-play	Hairbrush spanking	Impact Play	Impact using a hairbrush.	Both	Physical/Psychological	Moderate-High	Moderate-High										Hard surface concentrates force.			Original catalog
rubber-paddle	impact-play	Rubber paddle	Impact Play	Impact using flexible rubber or silicone.	Both	Physical/Psychological	Moderate	Moderate										Can be sting-heavy.			Original catalog
thuddy-impact	impact-play	Thuddy impact	Impact Play	Preference for deeper, duller impact sensations.	Receiving	Physical/Psychological	Variable	Variable										Usually larger/softer implements.			Original catalog
stingy-impact	impact-play	Stingy impact	Impact Play	Preference for sharp surface sting sensations.	Receiving	Physical/Psychological	Variable	Variable										Usually smaller/thinner implements.			Original catalog
rhythmic-impact	impact-play	Rhythmic impact	Impact Play	Steady, patterned impact for sensory/ritual effect.	Both	Physical/Psychological	Variable	Variable										Can be meditative or disciplinary.			Original catalog
counting-impacts	impact-play	Counting impacts	Impact Play	Receiver counts each impact as part of protocol.	Receiving	Physical/Psychological	Variable	Variable										Psychological structure amplifies scene.			Original catalog
targeted-impact	impact-play	Targeted impact	Impact Play	Impact focused on an agreed body area.	Both	Physical/Psychological	Variable	Variable										Some body areas are unsuitable/high risk.			Original catalog
impact-warm-up	impact-play	Impact warm-up	Impact Play	Gradual ramp from light to stronger impact.	Both	Physical/Psychological	Low-Moderate	Low										Common risk-reduction practice.			Original catalog
impact-endurance	impact-play	Impact endurance	Impact Play	Longer-duration, paced impact focused on endurance.	Receiving	Physical/Psychological	Moderate-High	Moderate-High										Fatigue and tissue stress matter.			Original catalog
punishment-style-impact	impact-play	Punishment-style impact	Impact Play	Impact framed as correction/discipline within consensual play.	Both	Physical/Psychological	Variable	Variable										Psychological framing matters.			Original catalog
pinching	pain-sensation	Pinching	Pain & Sensation	Manual compression of skin or soft tissue.	Both	Physical/Psychological	Low-Moderate	Low-Moderate										Avoid vulnerable areas.			Original catalog
scratching	pain-sensation	Scratching	Pain & Sensation	Using fingernails to create sharp skin sensation.	Both	Physical/Psychological	Low-Moderate	Low-Moderate										Skin-breaking changes risk.			Original catalog
biting	pain-sensation	Biting	Pain & Sensation	Teeth pressure used as sensation or marking.	Both	Physical/Psychological	Moderate	Moderate										Avoid breaking skin unless risk is understood.			Original catalog
hair-pulling	pain-sensation	Hair pulling	Pain & Sensation	Pulling hair for sensation/control.	Both	Physical/Psychological	Moderate	Moderate										Neck strain matters.			Original catalog
clothespin-play	pain-sensation	Clothespin play	Pain & Sensation	Using clips/clothespins for pinching pressure.	Receiving	Physical/Psychological	Moderate	Moderate										Monitor circulation and nerve sensation.			Original catalog
nipple-clamps	pain-sensation	Nipple clamps	Pain & Sensation	Clamps used for concentrated pressure.	Receiving	Physical/Psychological	Moderate-High	Moderate-High										Duration/tension matter.			Original catalog
body-clamps	pain-sensation	Body clamps	Pain & Sensation	Clamps on agreed body areas.	Receiving	Physical/Psychological	Moderate	Moderate										Placement/duration matter.			Original catalog
wartenberg-wheel	pain-sensation	Wartenberg wheel	Pain & Sensation	Spiked pinwheel rolled lightly over skin.	Both	Physical/Psychological	Low-Moderate	Low-Moderate										Avoid broken skin.			Original catalog
wax-play	pain-sensation	Wax play	Pain & Sensation	Warm wax dripped onto skin for heat sensation.	Both	Physical/Psychological	Moderate-High	Moderate-High										Wax type/temperature vary greatly.			Original catalog
cupping	pain-sensation	Cupping	Pain & Sensation	Suction cups used to create pressure/marking.	Receiving	Physical/Psychological	Moderate	Moderate										Bruising and skin integrity.			Original catalog
suction-play	pain-sensation	Suction play	Pain & Sensation	Localized suction for pressure or temporary marks.	Receiving	Physical/Psychological	Moderate	Moderate										Duration and tissue sensitivity.			Original catalog
abrasive-texture-play	pain-sensation	Abrasive texture play	Pain & Sensation	Using rough textures for controlled skin sensation.	Both	Physical/Psychological	Low-Moderate	Low-Moderate										Avoid skin damage.			Original catalog
rough-body-handling	pain-sensation	Rough body handling	Pain & Sensation	Firm grabbing, repositioning, or handling as sensation/control.	Both	Physical/Psychological	Variable	Variable										Joint/soft-tissue limits matter.			Original catalog
pressure-play	pain-sensation	Pressure play	Pain & Sensation	Firm pressure used as sensory input.	Receiving	Physical/Psychological	Variable	Moderate										Avoid restricting breathing/circulation.			Original catalog
pain-endurance	pain-sensation	Pain endurance	Pain & Sensation	Enjoyment of tolerating sustained consensual pain.	Receiving	Physical/Psychological	High	High										Requires pacing and monitoring.			Original catalog
pain-processing	pain-sensation	Pain processing	Pain & Sensation	Enjoyment of the mental/physiological process of receiving pain.	Receiving	Physical/Psychological	Variable	Variable										May overlap masochism.			Original catalog
masochism	pain-sensation	Masochism	Pain & Sensation	Enjoyment of receiving pain, discomfort, or intense sensation.	Receiving	Physical/Psychological	Variable	Variable										Broad umbrella.			Original catalog
sadism	pain-sensation	Sadism	Pain & Sensation	Enjoyment of consensually giving pain or intense sensation.	Giving	Physical/Psychological	Variable	Variable										Broad umbrella.			Original catalog
blindfolding	sensory-play	Blindfolding	Sensory Play	Removing sight to heighten anticipation and other senses.	Receiving	Sensory/Psychological	Low	Low										Easy to combine with many activities.			Original catalog
headphone-audio-isolation	sensory-play	Headphone / audio isolation	Sensory Play	Reducing environmental sound or replacing it with chosen audio.	Receiving	Sensory/Psychological	Low-Moderate	Low-Moderate										Maintain emergency communication.			Original catalog
earplug-sensory-reduction	sensory-play	Earplug sensory reduction	Sensory Play	Reducing ambient sound for isolation or focus.	Receiving	Sensory/Psychological	Low	Low										Do not compromise safety communication.			Original catalog
sensory-deprivation	sensory-play	Sensory deprivation	Sensory Play	Reducing multiple senses to increase helplessness or sensation.	Receiving	Sensory/Psychological	Moderate	Moderate										Communication planning matters.			Original catalog
sensory-overload	sensory-play	Sensory overload	Sensory Play	Layering multiple safe sensations at once.	Receiving	Sensory/Psychological	Moderate-High	Moderate-High										Can become overwhelming quickly.			Original catalog
texture-play	sensory-play	Texture play	Sensory Play	Using contrasting textures on skin.	Both	Sensory/Psychological	Low	Low										Highly individual sensory response.			Original catalog
feather-play	sensory-play	Feather play	Sensory Play	Light touch using feathers or similarly soft objects.	Both	Sensory/Psychological	Low	Low										Often teasing/ticklish.			Original catalog
soft-fur-sensation	sensory-play	Soft-fur sensation	Sensory Play	Using soft fabric/faux fur for tactile stimulation.	Both	Sensory/Psychological	Low	Low										Can overlap pet play.			Original catalog
silk-satin-sensation	sensory-play	Silk / satin sensation	Sensory Play	Using smooth fabrics for tactile contrast.	Both	Sensory/Psychological	Low	Low										Low-risk sensory play.			Original catalog
leather-fetish-sensation	sensory-play	Leather fetish / sensation	Sensory Play	Attraction to leather smell, look, texture, or gear.	Both	Sensory/Psychological	Low	Low										Aesthetic/tactile.			Original catalog
latex-fetish	sensory-play	Latex fetish	Sensory Play	Attraction to latex clothing/material sensation and appearance.	Both	Sensory/Psychological	Moderate	Moderate										Allergies and overheating matter.			Original catalog
rubber-fetish	sensory-play	Rubber fetish	Sensory Play	Attraction to rubber material, smell, or clothing.	Both	Sensory/Psychological	Moderate	Moderate										Heat/skin considerations.			Original catalog
neoprene-fetish	sensory-play	Neoprene fetish	Sensory Play	Attraction to neoprene/wetsuit-like material.	Both	Sensory/Psychological	Low-Moderate	Low-Moderate										Heat and compression.			Original catalog
compression-clothing	sensory-play	Compression clothing	Sensory Play	Enjoyment of tight garments/body compression.	Receiving	Sensory/Psychological	Low-Moderate	Moderate										Avoid circulation/breathing restriction.			Original catalog
wet-clothing	sensory-play	Wet clothing	Sensory Play	Enjoyment or aversion-based play involving soaked clothing.	Receiving	Sensory/Psychological	Low-Moderate	Low-Moderate										Temperature/slipping risks.			Original catalog
cold-water-play	sensory-play	Cold water play	Sensory Play	Using cool water as a controlled sensory stimulus.	Both	Sensory/Psychological	Moderate	Moderate										Avoid extreme cold.			Original catalog
warm-water-play	sensory-play	Warm water play	Sensory Play	Using warm water for sensory or relaxation effects.	Both	Sensory/Psychological	Low-Moderate	Low										Avoid burns.			Original catalog
temperature-contrast	sensory-play	Temperature contrast	Sensory Play	Alternating warm/cool sensations.	Both	Sensory/Psychological	Moderate	Moderate										Avoid extremes.			Original catalog
ice-play	sensory-play	Ice play	Sensory Play	Using ice for brief cold sensation.	Both	Sensory/Psychological	Moderate	Moderate										Avoid prolonged contact.			Original catalog
tickling	sensory-play	Tickling	Sensory Play	Using ticklish sensation for play, helplessness, or endurance.	Both	Sensory/Psychological	Moderate	Moderate										Can provoke involuntary movement.			Original catalog
tickle-torture	sensory-play	Tickle torture	Sensory Play	More intense/extended consensual tickling framed as torment.	Both	Sensory/Psychological	Moderate-High	Moderate-High										Breathing/panic response matters.			Original catalog
water-over-face-aversion-play	sensory-play	Water-over-face aversion play	Sensory Play	Brief, controlled facial water sensation as aversive sensory play.	Receiving	Sensory/Psychological	Moderate	Moderate										Never obstruct breathing.			Original catalog
asmr-kink	sensory-play	ASMR kink	Sensory Play	Erotic/relaxing response to whispers, tapping, soft sounds, or close audio.	Receiving	Sensory/Psychological	Low	Low										Auditory.			Original catalog
whispering	sensory-play	Whispering	Sensory Play	Close, quiet speech used for intimacy, control, or anticipation.	Both	Sensory/Psychological	Low	Low										Auditory/psychological.			Original catalog
music-control	sensory-play	Music control	Sensory Play	One partner selects/controls music or audio atmosphere.	Both	Sensory/Psychological	Low	Low										Scene-setting.			Original catalog
electrical-stimulation	electrical-specialty	Electrical stimulation	Electrical & Specialty	Purpose-built devices used to create electrical sensation.	Both	Physical	High	High										Specialty activity; device/placement knowledge essential.			Original catalog
tens-style-sensation-play	electrical-specialty	TENS-style sensation play	Electrical & Specialty	Appropriate electrical stimulation equipment used for tingling/pulsing.	Both	Physical	High	High										Follow device-specific guidance.			Original catalog
violet-wand-play	electrical-specialty	Violet wand play	Electrical & Specialty	High-frequency electrical sensation using specialty equipment.	Both	Physical	High	High										Specialty knowledge required.			Original catalog
electro-tickle-sensation	electrical-specialty	Electro-tickle sensation	Electrical & Specialty	Electrical sensation used for involuntary twitch/tickle-like reactions.	Receiving	Physical	High	High										Specialty activity.			Original catalog
edging	orgasm-arousal-control	Edging	Orgasm & Arousal Control	Bringing arousal close to climax and stopping/reducing stimulation.	Both	Physical/Psychological	Moderate	Low-Moderate										Psychological intensity varies.			Original catalog
orgasm-denial	orgasm-arousal-control	Orgasm denial	Orgasm & Arousal Control	Delaying or prohibiting climax for an agreed period.	Receiving	Physical/Psychological	Moderate	Low-Moderate										Scene-based or longer-term.			Original catalog
orgasm-control	orgasm-arousal-control	Orgasm control	Orgasm & Arousal Control	One partner controls whether/when climax is allowed.	Both	Physical/Psychological	Moderate	Low-Moderate										Power-exchange framing.			Original catalog
forced-orgasm-fantasy	orgasm-arousal-control	Forced orgasm fantasy	Orgasm & Arousal Control	Consensual play centered on repeated or difficult-to-stop climax.	Receiving	Physical/Psychological	Moderate	Moderate										Stop for pain/numbness.			Original catalog
overstimulation	orgasm-arousal-control	Overstimulation	Orgasm & Arousal Control	Continuing stimulation beyond comfortable sensitivity within limits.	Receiving	Physical/Psychological	Moderate-High	Moderate										Stop for unwanted pain/numbness.			Original catalog
ruined-orgasm	orgasm-arousal-control	Ruined orgasm	Orgasm & Arousal Control	Interrupting climax or reducing stimulation at climax.	Receiving	Physical/Psychological	Moderate	Low										Psychological frustration.			Original catalog
tease-and-denial	orgasm-arousal-control	Tease and denial	Orgasm & Arousal Control	Prolonged arousal with limited or delayed release.	Receiving	Physical/Psychological	Moderate	Low-Moderate										Broad umbrella.			Original catalog
hands-off-rule	orgasm-arousal-control	Hands-off rule	Orgasm & Arousal Control	Receiver may not touch themselves during an agreed period/scene.	Receiving	Physical/Psychological	Low-Moderate	Low										Control-based.			Original catalog
permission-to-orgasm-protocol	orgasm-arousal-control	Permission-to-orgasm protocol	Orgasm & Arousal Control	Receiver must ask before climax.	Receiving	Physical/Psychological	Low-Moderate	Low										Protocol-based.			Original catalog
countdown-to-release	orgasm-arousal-control	Countdown-to-release	Orgasm & Arousal Control	Release tied to a countdown or formal permission cue.	Receiving	Physical/Psychological	Low-Moderate	Low										Anticipation-based.			Original catalog
chastity-device-play	orgasm-arousal-control	Chastity device play	Orgasm & Arousal Control	Purpose-built device restricts genital access/arousal behavior.	Receiving	Physical/Psychological	High	High										Fit, hygiene, circulation, duration matter.			Original catalog
honor-system-chastity	orgasm-arousal-control	Honor-system chastity	Orgasm & Arousal Control	Chastity maintained by rule rather than physical device.	Receiving	Physical/Psychological	Low	Low										Psychological/behavioral.			Original catalog
begging	orgasm-arousal-control	Begging	Orgasm & Arousal Control	Receiver asks or pleads for permission, attention, or release.	Receiving	Physical/Psychological	Low-Moderate	Low										Psychological.			Original catalog
teasing	orgasm-arousal-control	Teasing	Orgasm & Arousal Control	Deliberately provoking arousal or anticipation without immediate satisfaction.	Both	Physical/Psychological	Low-Moderate	Low										Psychological.			Original catalog
protocol	protocol-obedience-service	Protocol	Protocol, Obedience & Service	Formal rules governing behavior, speech, posture, or interaction.	Both	Psychological/Behavioral	Variable	Low-Variable										Broad umbrella.			Original catalog
high-protocol	protocol-obedience-service	High protocol	Protocol, Obedience & Service	More formal, detailed, or frequent rules and rituals.	Both	Psychological/Behavioral	Moderate	Moderate										Requires clarity and sustainability.			Original catalog
low-protocol	protocol-obedience-service	Low protocol	Protocol, Obedience & Service	Occasional symbolic rules/rituals without pervasive structure.	Both	Psychological/Behavioral	Low	Low										Flexible.			Original catalog
obedience	protocol-obedience-service	Obedience	Protocol, Obedience & Service	Enjoyment of giving or following consensual commands.	Both	Psychological/Behavioral	Variable	Low-Variable										Core power-exchange kink.			Original catalog
command-play	protocol-obedience-service	Command play	Protocol, Obedience & Service	Scene built around giving/following specific commands.	Both	Psychological/Behavioral	Variable	Low-Variable										Boundaries remain in force.			Original catalog
permission-protocols	protocol-obedience-service	Permission protocols	Protocol, Obedience & Service	Requiring permission for selected harmless actions.	Receiving	Psychological/Behavioral	Variable	Low-Moderate										Keep essentials exempt.			Original catalog
position-protocols	protocol-obedience-service	Position protocols	Protocol, Obedience & Service	Assigned postures or positions as ritual/obedience.	Receiving	Psychological/Behavioral	Moderate	Moderate										Joint/comfort limits.			Original catalog
kneeling-protocol	protocol-obedience-service	Kneeling protocol	Protocol, Obedience & Service	Kneeling used as a ritual or power-exchange posture.	Receiving	Psychological/Behavioral	Moderate	Moderate										Protect knees/joints.			Original catalog
speech-protocol	protocol-obedience-service	Speech protocol	Protocol, Obedience & Service	Rules about titles, phrasing, response format, or when to speak.	Receiving	Psychological/Behavioral	Low-Moderate	Low-Moderate										Safety/needs speech unrestricted.			Original catalog
honorifics-titles	protocol-obedience-service	Honorifics / titles	Protocol, Obedience & Service	Using titles such as Master, Sir, Ma'am, Daddy, Mommy, etc.	Both	Psychological/Behavioral	Low	Low										Meaning is relationship-specific.			Original catalog
eye-contact-protocol	protocol-obedience-service	Eye-contact protocol	Protocol, Obedience & Service	Rules about making or withholding eye contact.	Receiving	Psychological/Behavioral	Low	Low										Can be psychologically potent.			Original catalog
posture-training	protocol-obedience-service	Posture training	Protocol, Obedience & Service	Practicing specific body posture as protocol or presentation.	Receiving	Psychological/Behavioral	Moderate	Moderate										Avoid strain.			Original catalog
etiquette-training	protocol-obedience-service	Etiquette training	Protocol, Obedience & Service	Practicing formal manners or ritualized behavior.	Receiving	Psychological/Behavioral	Low	Low										Playful or serious.			Original catalog
inspection	protocol-obedience-service	Inspection	Protocol, Obedience & Service	Formal inspection of posture, attire, work, or readiness.	Both	Psychological/Behavioral	Low-Moderate	Low										Psychological/ritual.			Original catalog
presentation	protocol-obedience-service	Presentation	Protocol, Obedience & Service	Submissive presents themselves, object, or completed task for review.	Receiving	Psychological/Behavioral	Low-Moderate	Low										Can overlap evaluation.			Original catalog
service-submission	protocol-obedience-service	Service submission	Protocol, Obedience & Service	Enjoyment of serving another person as expression of submission.	Receiving	Psychological/Behavioral	Variable	Low										Acts of care/practical help.			Original catalog
domestic-service	protocol-obedience-service	Domestic service	Protocol, Obedience & Service	Household tasks framed as service within power exchange.	Receiving	Psychological/Behavioral	Low	Low										Not inherently erotic to everyone.			Original catalog
personal-assistant-service	protocol-obedience-service	Personal assistant service	Protocol, Obedience & Service	Organizing, fetching, scheduling, or assisting as consensual service.	Receiving	Psychological/Behavioral	Low	Low										Avoid exploitative imbalance.			Original catalog
bootblacking	protocol-obedience-service	Bootblacking	Protocol, Obedience & Service	Cleaning/polishing leather boots as ritualized service.	Receiving	Psychological/Behavioral	Low	Low										Community/ritual oriented.			Original catalog
foot-service	protocol-obedience-service	Foot service	Protocol, Obedience & Service	Massaging, washing, tending, or presenting feet as service.	Both	Psychological/Behavioral	Low	Low										May overlap foot fetish.			Original catalog
serving-drinks	protocol-obedience-service	Serving drinks	Protocol, Obedience & Service	Formalized drink preparation/presentation as service.	Receiving	Psychological/Behavioral	Low	Low										Hydration should never be withheld.			Original catalog
serving-meals	protocol-obedience-service	Serving meals	Protocol, Obedience & Service	Formalized meal preparation/presentation as service.	Receiving	Psychological/Behavioral	Low	Low										Food access remains safe.			Original catalog
task-assignment	protocol-obedience-service	Task assignment	Protocol, Obedience & Service	Master assigns bounded tasks for obedience or structure.	Both	Psychological/Behavioral	Low-Moderate	Low										Clear scope/endpoints.			Original catalog
timed-task-protocol	protocol-obedience-service	Timed task protocol	Protocol, Obedience & Service	Task must be completed within an agreed time.	Receiving	Psychological/Behavioral	Moderate	Low-Moderate										Avoid unsafe rushing.			Original catalog
precision-task-protocol	protocol-obedience-service	Precision task protocol	Protocol, Obedience & Service	Task must meet exact formatting/quality rules.	Receiving	Psychological/Behavioral	Moderate	Low-Moderate										Competence + submission.			Original catalog
fetching	protocol-obedience-service	Fetching	Protocol, Obedience & Service	Being told to retrieve objects as service/protocol task.	Receiving	Psychological/Behavioral	Low	Low													Original catalog
waiting-position	protocol-obedience-service	Waiting position	Protocol, Obedience & Service	Holding a designated posture while waiting for Master.	Receiving	Psychological/Behavioral	Low-Moderate	Low-Moderate													Original catalog
dominance	power-exchange-roles	Dominance	Power Exchange & Roles	Enjoyment of consensually directing, controlling, or leading.	Giving	Psychological/Relational	Variable	Low-Variable										Umbrella identity/role.			Original catalog
submission	power-exchange-roles	Submission	Power Exchange & Roles	Enjoyment of consensually yielding control or following.	Receiving	Psychological/Relational	Variable	Low-Variable										Umbrella identity/role.			Original catalog
master-slave-dynamic	power-exchange-roles	Master/slave dynamic	Power Exchange & Roles	Structured power exchange using Master/slave roles and terminology.	Both	Psychological/Relational	Variable	Moderate										Definitions vary; explicit scope matters.			Original catalog
owner-property-dynamic	power-exchange-roles	Owner/property dynamic	Power Exchange & Roles	Power exchange framed around ownership/property symbolism.	Both	Psychological/Relational	Variable	Moderate										Symbolic/consensual.			Original catalog
daddy-babygirl-dynamic	power-exchange-roles	Daddy/babygirl dynamic	Power Exchange & Roles	Caretaking + authority dynamic using Daddy/babygirl roles.	Both	Psychological/Relational	Variable	Low-Moderate										Adult participants only.			Original catalog
mommy-little-dynamic	power-exchange-roles	Mommy/little dynamic	Power Exchange & Roles	Caretaking + authority dynamic using Mommy/little roles.	Both	Psychological/Relational	Variable	Low-Moderate										Adult participants only.			Original catalog
caretaker-little-dynamic	power-exchange-roles	Caretaker/little dynamic	Power Exchange & Roles	Nurturing authority + regressive/playful adult role dynamic.	Both	Psychological/Relational	Variable	Low-Moderate										Adult participants only.	3Fun; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology	Existing + sourced
pet-owner-dynamic	power-exchange-roles	Pet/Owner dynamic	Power Exchange & Roles	Power exchange framed around pet and Owner roles.	Both	Psychological/Relational	Variable	Low-Moderate										Can overlap pet play.			Original catalog
handler-pet-dynamic	power-exchange-roles	Handler/pet dynamic	Power Exchange & Roles	Training/handling structure within pet play.	Both	Psychological/Relational	Variable	Low-Moderate										Roleplay/power exchange.			Original catalog
total-power-exchange-fantasy	power-exchange-roles	Total power exchange fantasy	Power Exchange & Roles	Fantasy or negotiated structure where control is broadly delegated.	Both	Psychological/Relational	High	High										Scope remains consensual and revocable.			Original catalog
24-7-power-exchange	power-exchange-roles	24/7 power exchange	Power Exchange & Roles	Power-exchange roles extending beyond discrete scenes.	Both	Psychological/Relational	High	High										Requires robust communication.			Original catalog
weekend-temporary-tpe	power-exchange-roles	Weekend / temporary TPE	Power Exchange & Roles	Broad power exchange limited to defined time window.	Both	Psychological/Relational	Moderate-High	Moderate										Bounded duration.			Original catalog
switching	power-exchange-roles	Switching	Power Exchange & Roles	Enjoyment of both dominant/top and submissive/bottom roles.	Both	Psychological/Relational	Variable	Low										Can vary by partner/activity.			Original catalog
bratting	power-exchange-roles	Bratting	Power Exchange & Roles	Playful resistance, teasing, or rule-testing.	Receiving	Psychological/Relational	Low-Moderate	Low-Moderate										Shared understanding matters.			Original catalog
brat-taming	power-exchange-roles	Brat taming	Power Exchange & Roles	Enjoyment of responding to playful resistance with control/discipline.	Giving	Psychological/Relational	Moderate	Moderate										Avoid real anger replacing play.			Original catalog
training-dynamic	power-exchange-roles	Training dynamic	Power Exchange & Roles	Ongoing development of protocols, skills, or behaviors within D/s.	Both	Psychological/Relational	Variable	Low-Moderate										Goals/consent explicit.			Original catalog
ownership-ritual	power-exchange-roles	Ownership ritual	Power Exchange & Roles	Symbolic acts reinforcing belonging/ownership dynamics.	Both	Psychological/Relational	Low-Moderate	Low										Collars/phrases/ceremonies.			Original catalog
