Kink	Category	Description	Risk Level	Notes	Research Source(s)	Source URL(s)
Pegging	Sexual Activities & Techniques	Strap-on anal penetration, commonly with a receiver who does not have a vagina.	Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Rimming / anilingus	Sexual Activities & Techniques	Oral stimulation of the anus.	Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
69	Sexual Activities & Techniques	Mutual oral stimulation at the same time.	Low-Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Mutual masturbation	Sexual Activities & Techniques	Partners masturbate together or in view of one another.	Low	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Partner-watched masturbation	Sexual Activities & Techniques	One partner masturbates while the other consensually watches.	Low	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Double penetration	Sexual Activities & Techniques	Simultaneous penetration involving two points of penetration or multiple partners/toys.	High	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Strap-on play	Sexual Activities & Techniques	Use of a strap-on for penetration or power-role play.	Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Tribadism / scissoring	Sexual Activities & Techniques	Genital-to-genital rubbing between vulva-owning partners.	Low	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Intercrural sex	Sexual Activities & Techniques	Penetrative-style stimulation between the thighs rather than inside the body.	Low	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Frottage / grinding	Sexual Activities & Techniques	Erotic rubbing or grinding against a partner or clothing.	Low	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Sex toy: dildo	Sexual Activities & Techniques	Use of a non-vibrating insertable sex toy.	Low-Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Sex toy: plug	Sexual Activities & Techniques	Use of an insertable plug, often for anal play.	Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Sex toy: vibrator	Sexual Activities & Techniques	Use of a vibrating sex toy.	Low	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Magic-wand stimulation	Sexual Activities & Techniques	Use of a broad-head vibrating massager for sexual stimulation.	Low	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Sex machine play	Sexual Activities & Techniques	Use of a powered device that provides repetitive sexual stimulation.	High	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Sybian-style ride-on vibrator	Sexual Activities & Techniques	Ride-on vibrating machine used for intense stimulation.	Moderate-High	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Genital ring play	Sexual Activities & Techniques	Use of a ring designed to create pressure around genital tissue.	Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Cockwarming / passive penetration	Sexual Activities & Techniques	Remaining penetrated with little or no movement as an intimacy or control dynamic.	Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Coming on command	Sexual Activities & Techniques	Orgasm timed to a partner's command or permission cue.	Low-Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Untouched orgasm fantasy	Sexual Activities & Techniques	Interest in climax occurring without direct genital touch, often through mental or sensory stimulation.	Low	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Multiple-orgasm play	Sexual Activities & Techniques	Seeking or exploring repeated orgasms within one encounter.	Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Car sex fantasy	Sexual Contexts & Environments	Interest in sexual activity in or around a vehicle.	Moderate	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Shower sex	Sexual Contexts & Environments	Sexual activity in a shower environment.	Moderate	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Bath / pool sex	Sexual Contexts & Environments	Sexual activity in water-based settings such as a bath or pool.	Moderate	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Phone sex	Sexual Contexts & Environments	Erotic interaction conducted by voice call.	Low	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Sexting	Sexual Contexts & Environments	Erotic text-based communication between consenting adults.	Moderate	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Rough sex	Sexual Contexts & Environments	Preference for physically intense, forceful-feeling consensual sex.	Moderate-High	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Gentle sex	Sexual Contexts & Environments	Preference for soft, slow, affectionate sexual activity.	Low	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Wall sex	Sexual Contexts & Environments	Sexual activity positioned against a wall or upright surface.	Moderate	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Sleepy sex	Sexual Contexts & Environments	Sexual activity when partners are drowsy but awake and consenting.	Moderate	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Distracted / casual-use sex fantasy	Sexual Contexts & Environments	Interest in sexual activity while one partner remains focused on another harmless activity.	Moderate	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Angry-sex / hate-sex fantasy	Sexual Contexts & Environments	Consensual roleplay using anger, rivalry, or conflict as erotic framing.	Moderate-High	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Clothed sex	Sexual Contexts & Environments	Sexual activity while one or both partners remain partially or fully clothed.	Low	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Almost-getting-caught fantasy	Sexual Contexts & Environments	Arousal from the possibility of discovery without actually involving non-consenting observers.	Moderate	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Striptease / erotic dancing	Sexual Contexts & Environments	Erotic performance centered on dancing, undressing, or controlled presentation.	Low	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Lap dance	Sexual Contexts & Environments	Erotic dance performed closely for a seated partner.	Low	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Watching porn together	Sexual Contexts & Environments	Shared viewing of consensual adult pornography as part of sexual play.	Low-Moderate	Keep any public-risk element private or limited to environments where all observers consent.	Tumblr 400+ list; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://www.go3fun.co/poly-blog/list-of-kinks/
Cum play	Fluids, Excretions & Body Responses	Erotic focus on semen as a body fluid, symbol, or sensory element.	Moderate	Barrier/STI and cleanup preferences matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Facial cum play	Fluids, Excretions & Body Responses	Erotic interest in semen being placed on the face.	Moderate	Eye exposure and STI considerations matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Bukkake fantasy / group cum play	Fluids, Excretions & Body Responses	Group-oriented semen-focused fantasy or activity among consenting adults.	Moderate-High	Multiple-partner STI considerations apply.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Swallowing semen	Fluids, Excretions & Body Responses	Interest in swallowing semen during consensual adult sexual activity.	Moderate	STI considerations apply.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Cum swapping / snowballing	Fluids, Excretions & Body Responses	Passing semen between consenting adults, usually mouth-to-mouth.	Moderate-High	STI considerations apply.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Felching	Fluids, Excretions & Body Responses	Interest in retrieving semen from a body opening after ejaculation.	High	Higher exposure to body fluids; hygiene and STI considerations.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Drool / saliva fetish	Fluids, Excretions & Body Responses	Erotic focus on drooling, saliva, or visible wetness.	Low-Moderate	Hygiene and infection considerations vary.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Lactation / milk fetish	Fluids, Excretions & Body Responses	Erotic interest in lactation, milk, or nursing-related adult fantasy.	Moderate	Adult-only; medical/lactation context may matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Menstruation kink	Fluids, Excretions & Body Responses	Erotic interest in menstrual blood or menstruation-related intimacy.	Moderate	Bloodborne-pathogen considerations.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Squirting fetish	Fluids, Excretions & Body Responses	Erotic interest in squirting or visible sexual fluid release.	Low-Moderate	Hydration and comfort matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Tears / crying kink	Fluids, Excretions & Body Responses	Erotic or emotional interest in tears or consensual crying within a scene.	Moderate	Psychological context and aftercare may matter.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Urine play / watersports	Fluids, Excretions & Body Responses	Erotic interest involving urine between consenting adults.	Moderate	Hygiene and health considerations.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Scat fetish	Fluids, Excretions & Body Responses	Erotic interest involving feces.	High	High hygiene/infection risk; descriptive catalog entry only.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Vomit / emetophilia	Fluids, Excretions & Body Responses	Erotic interest involving vomiting or vomit.	High	Aspiration, illness, and hygiene risk; descriptive catalog entry only.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Bladder-desperation fantasy	Fluids, Excretions & Body Responses	Erotic interest in urgency or needing to urinate.	High	Avoid delaying essential bathroom use to the point of pain or harm.	Tumblr 400+ list; KinkSheet; 3Fun	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://www.go3fun.co/poly-blog/list-of-kinks/
Navel / belly-button fetish	Body Focus, Worship & Transformation	Erotic focus on the navel or belly button.	Low		3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Pregnancy kink	Body Focus, Worship & Transformation	Erotic interest in pregnancy-related body changes, fertility symbolism, or adult pregnancy fantasy.	Low-Moderate	Fantasy and real pregnancy have different health considerations.	3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Feedism / feederism	Body Focus, Worship & Transformation	Erotic interest in feeding, being fed, weight-gain fantasy, or feeder/feedee dynamics.	Moderate-High	Body image, nutrition, and health boundaries matter; fantasy-only is an option.	3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Weight-gain kink	Body Focus, Worship & Transformation	Erotic interest in body-size increase or weight-gain fantasy.	Moderate-High	Health and body-image considerations.	3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Size-difference kink	Body Focus, Worship & Transformation	Erotic interest in pronounced height, build, hand-size, or overall size contrast.	Low		3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Micro/macrophilia fantasy	Body Focus, Worship & Transformation	Fantasy involving extreme size differences, shrinking, or giant/tiny scenarios.	Low	Fantasy/surrealism.	3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Hair worship	Body Focus, Worship & Transformation	Sustained erotic attention to a partner's hair, styling, washing, or texture.	Low		3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Hair-cutting kink	Body Focus, Worship & Transformation	Erotic interest in cutting or having hair cut as transformation, control, or ritual.	Moderate	Real hair changes can be lasting; negotiate carefully.	3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Shaving / grooming kink	Body Focus, Worship & Transformation	Erotic interest in shaving, being shaved, or controlled grooming.	Moderate	Skin and consent considerations.	3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Scar fetish	Body Focus, Worship & Transformation	Erotic attraction to scars or scarred skin.	Low	Attraction only; does not imply creating scars.	3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Ass worship	Body Focus, Worship & Transformation	Focused erotic admiration or service directed toward a partner's buttocks.	Low		3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Chest / breast worship	Body Focus, Worship & Transformation	Focused erotic admiration or service directed toward a partner's chest or breasts.	Low		3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Genital worship	Body Focus, Worship & Transformation	Focused erotic admiration or service directed toward a partner's genitals.	Low-Moderate		3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Fertility / breeding fantasy	Body Focus, Worship & Transformation	Adult consensual fantasy centered on fertility, impregnation themes, or reproductive symbolism.	Moderate	Fantasy does not require actual pregnancy intent; contraception decisions remain separate.	3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Inflation fantasy	Body Focus, Worship & Transformation	Surreal fantasy involving expansion, filling, or exaggerated body inflation.	Low	Fantasy-only.	3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Oral fixation	Body Focus, Worship & Transformation	Erotic focus on mouths, sucking, licking, biting, or having objects/parts in the mouth.	Low-Moderate	Broad umbrella.	3Fun; Tumblr 400+ list; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Nylon fetish	Clothing, Gear & Fetishwear	Erotic attraction to nylon fabric, hosiery, or its texture/appearance.	Low-Moderate		3Fun; Tumblr 400+ list; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Sneaker fetish	Clothing, Gear & Fetishwear	Erotic attraction to sneakers, worn athletic shoes, or sneaker aesthetics.	Low-Moderate		3Fun; Tumblr 400+ list; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Jewelry fetish	Clothing, Gear & Fetishwear	Erotic attraction to jewelry, adornment, or the act of putting it on/removing it.	Low-Moderate		3Fun; Tumblr 400+ list; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Makeup fetish	Clothing, Gear & Fetishwear	Erotic attraction to makeup, cosmetics, or transformation through makeup.	Low-Moderate		3Fun; Tumblr 400+ list; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Underwear / panties fetish	Clothing, Gear & Fetishwear	Erotic attraction to underwear as an object, material, or presentation cue.	Low-Moderate		3Fun; Tumblr 400+ list; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Military-uniform fetish	Clothing, Gear & Fetishwear	Erotic attraction to military-style uniforms or authority aesthetics.	Low-Moderate		3Fun; Tumblr 400+ list; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
Medical-uniform fetish	Clothing, Gear & Fetishwear	Erotic attraction to clinical or medical uniforms as an authority/aesthetic cue.	Low-Moderate		3Fun; Tumblr 400+ list; KinkSheet; TBô 2026 list	https://www.go3fun.co/poly-blog/list-of-kinks/; https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/; https://tbo.clothing/blogs/talk/kinks-list-2026-a-z-fetishes-psychology
